ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	4.3627611807e-01	4.0504407706e-01	2.1766965884e+00	     6	5.7517177692e-01	4.4261184053e-01	3.9146968613e+00
  4	    24	3.6287452168e-01	3.6963517259e-01	2.7810121354e+00	    15	2.7661424048e-01	2.6813601131e-01	7.0357670459e+00
  6	    44	4.8446119136e-01	4.9616292341e-01	3.4224797987e+00	    28	5.0858999415e-01	4.8764628065e-01	7.2748484345e+00
  8	    64	3.8776573349e-01	3.8754324879e-01	4.1958251788e+00	    45	4.1710721125e-01	4.0384926702e-01	7.8078374078e+00
 10	    96	4.9163271356e-01	5.1684801682e-01	4.7955896784e+00	    66	5.1011092164e-01	5.1056958042e-01	6.6224688598e+00
 12	   128	4.9385107852e-01	5.2011418267e-01	4.5448833152e+00	    91	5.1591428444e-01	5.2221137262e-01	6.8412843290e+00
 14	   168	4.6293723955e-01	4.8101612449e-01	4.4642464955e+00	   120	4.7637750512e-01	4.7891074060e-01	7.6969973031e+00
 16	   208	4.7964190218e-01	5.0438218433e-01	4.4572312879e+00	   153	4.9612498963e-01	5.0119074214e-01	6.1426129769e+00
 18	   264	4.9457512907e-01	5.2446089365e-01	4.6369962970e+00	   190	5.1536860649e-01	5.2514025381e-01	6.2925868718e+00
 20	   312	5.0656880637e-01	5.3353856884e-01	5.3934576573e+00	   231	5.2729182933e-01	5.3089404544e-01	7.3768180045e+00
 22	   372	4.9404280342e-01	5.2762952956e-01	4.6636927067e+00	   276	5.1215522427e-01	5.2814455641e-01	6.8347831886e+00
 24	   436	4.8939662655e-01	5.2537634691e-01	4.4600901664e+00	   325	5.0770185110e-01	5.2631191073e-01	6.6362486196e+00
 26	   520	4.7873904723e-01	4.9418812464e-01	5.6280058800e+00	   378	4.9736118784e-01	4.9287322672e-01	8.4358513816e+00
 28	   600	4.8039742420e-01	5.0593586368e-01	4.7385743582e+00	   435	5.0080273847e-01	5.0893606540e-01	7.2600415465e+00
 30	   684	4.8687078649e-01	5.1238612012e-01	4.9160807283e+00	   496	5.0177826991e-01	5.0733236308e-01	7.9314767488e+00
