ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.5266528784e-01	1.6922262299e-01	1.8578677340e+03	     6	1.8487600055e+00	2.1310773017e+00	2.9583477601e+03
  4	   114	1.8636482032e-02	2.0844893118e-02	2.2408724129e+03	    15	3.8611344842e-01	4.5106535692e-01	1.1082671828e+03
  6	   209	1.8986883374e-04	2.1159905678e-04	2.2956468121e+03	    28	8.8481131664e-03	9.8742552106e-03	1.5432886322e+03
  8	   304	1.9154606311e-06	2.1589850673e-06	2.5346469917e+03	    45	8.7427278276e-04	9.5480418656e-04	2.2958072960e+03
 10	   456	1.8456675772e-08	2.0833368330e-08	2.6387904731e+03	    66	2.5564949942e-06	2.8695066060e-06	1.4583124466e+03
 12	   608	2.0668352636e-09	2.3359788312e-09	2.6268614812e+03	    91	2.0409425832e-09	2.2417810426e-09	1.7757857318e+03
 14	   798	2.1506327558e-09	2.4285699273e-09	2.5848023376e+03	   120	2.2208866008e-09	2.4284024751e-09	1.6219545480e+03
 16	   988	2.1507582115e-09	2.4281834139e-09	2.5849197826e+03	   153	2.2265038537e-09	2.4305707273e-09	1.8679597732e+03
 18	  1254	2.1510675369e-09	2.4285338671e-09	2.5863500692e+03	   190	2.2470193191e-09	2.4051909570e-09	1.8432853024e+03
 20	  1482	2.1484898898e-09	2.4285271515e-09	2.8117876714e+03	   231	2.1845732652e-09	2.4285655179e-09	1.7358332531e+03
 22	  1767	2.1512768733e-09	2.4286926241e-09	2.6090124789e+03	   276	2.2119549040e-09	2.4291459467e-09	1.9928155048e+03
 24	  2071	2.1513820345e-09	2.4285158071e-09	2.5585170388e+03	   325	2.2058446374e-09	2.4285213857e-09	1.8389026601e+03
 26	  2470	2.1472516061e-09	2.4287883526e-09	2.9272807497e+03	   378	2.2127307843e-09	2.4253782604e-09	1.9003047064e+03
 28	  2850	2.1497950747e-09	2.4286900949e-09	2.6410116630e+03	   435	2.1979381025e-09	2.4291720938e-09	1.7370629701e+03
 30	  3249	2.1495474450e-09	2.4288853494e-09	2.6620796866e+03	   496	2.2193624440e-09	2.4290054006e-09	1.8465998220e+03
