ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	6.5405533497e-04	6.5082089670e-04	1.6038804394e+01	     6	1.8596736058e-01	1.6677658505e-01	2.1122844410e+01
  4	    24	2.7697441800e-05	2.6126840237e-05	1.8277623885e+01	    15	1.9585470488e-04	2.0429636009e-04	3.4034603994e+01
  6	    44	1.8649763186e-07	1.6576147563e-07	2.0555136401e+01	    28	1.7381678510e-04	1.6965695113e-04	3.2341525293e+01
  8	    64	1.8050716693e-10	1.6626277751e-10	2.3687178972e+01	    43	3.8356149497e-07	3.7824627911e-07	3.7281056784e+01
 10	    96	1.3329098259e-13	1.2435121942e-13	2.4602422689e+01	    66	4.3940533717e-09	4.4206904078e-09	2.9955418042e+01
 12	   128	4.6415356075e-15	6.4886136726e-15	2.3914908079e+01	    91	4.1090729302e-12	4.0536406424e-12	3.2619957814e+01
 14	   168	4.8507780073e-15	7.2666120292e-15	2.3651247946e+01	   120	4.2814834804e-15	6.7076418731e-15	3.5436632095e+01
 16	   208	1.4514252515e-14	2.3499859614e-14	2.3394357092e+01	   153	4.6463033117e-15	7.0789700567e-15	3.0192804747e+01
 18	   264	1.4412322354e-14	3.9148620422e-14	2.3950038802e+01	   190	7.4895050238e-15	1.7877648312e-14	3.0416237058e+01
 20	   312	1.4274122876e-14	3.1614543674e-14	2.6668968568e+01	   231	8.5516716917e-15	1.1233979505e-14	3.4087705770e+01
 22	   372	1.7232039708e-14	3.7626816757e-14	2.3960756320e+01	   276	6.6983726859e-15	1.1393232827e-14	3.2518209467e+01
 24	   436	1.9559342718e-14	4.6179453940e-14	2.3334667326e+01	   325	6.9239197117e-15	1.2088077721e-14	3.1501920545e+01
 26	   520	1.3358801050e-14	5.7287465857e-14	2.8051607078e+01	   378	7.3651493353e-15	1.5766933439e-14	3.7620293480e+01
 28	   600	2.4366454090e-14	4.7465251489e-14	2.4497524001e+01	   435	8.3763840888e-15	2.3820093384e-14	3.3508342188e+01
 30	   684	3.5522431173e-14	1.5278121967e-13	2.5535210186e+01	   496	9.5672517121e-15	3.3951900720e-14	3.6834445925e+01
