ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	2.6951879897e-02	2.9874949802e-02	5.0795235346e+00	     6	1.3820624725e+00	1.5931121162e+00	2.4088920510e+01
  4	   114	3.7578355068e-03	4.2031365876e-03	6.3571298308e+00	    15	1.0587264968e-01	1.2368252054e-01	4.8261942927e+00
  6	   209	3.8720723820e-05	4.3152256622e-05	6.5242539276e+00	    28	1.8199268829e-03	2.0309892254e-03	4.9689560906e+00
  8	   304	3.9057514426e-07	4.4023139395e-07	7.0218230670e+00	    45	1.7803819532e-04	1.9443772883e-04	6.5177158167e+00
 10	   456	3.7634304204e-09	4.2480534446e-09	7.2384295190e+00	    66	5.2128036460e-07	5.8510478405e-07	4.7593736383e+00
 12	   608	4.2144665330e-10	4.7632787421e-10	7.2136302514e+00	    91	4.1616132743e-10	4.5711354883e-10	5.4327934546e+00
 14	   798	4.3852853302e-10	4.9520571424e-10	7.1261676243e+00	   120	4.5285409444e-10	4.9516769314e-10	5.1073948687e+00
 16	   988	4.3855255749e-10	4.9512445721e-10	7.1264119124e+00	   153	4.5399992800e-10	4.9561252288e-10	5.6270976989e+00
 18	  1254	4.3861890729e-10	4.9519961843e-10	7.1293869104e+00	   190	4.5818155169e-10	4.9043222727e-10	5.5751283694e+00
 20	  1482	4.3809042497e-10	4.9519664302e-10	7.5977141296e+00	   231	4.4544774729e-10	4.9519823688e-10	5.3484241279e+00
 22	  1767	4.3865349666e-10	4.9522148088e-10	7.1765181438e+00	   276	4.5103146034e-10	4.9531817617e-10	5.8896071309e+00
 24	  2071	4.3867876488e-10	4.9519307447e-10	7.0714851428e+00	   325	4.4978619060e-10	4.9518863436e-10	5.5658943125e+00
 26	  2470	4.3783625216e-10	4.9523950493e-10	7.8372341761e+00	   378	4.5118969266e-10	4.9454976963e-10	5.6951752967e+00
 28	  2850	4.3835150465e-10	4.9521448130e-10	7.2430463466e+00	   435	4.4817291284e-10	4.9532609331e-10	5.3510223826e+00
 30	  3249	4.3829264989e-10	4.9524319004e-10	7.2868350146e+00	   496	4.5254221469e-10	4.9528956398e-10	5.5821112581e+00
