ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	5.4705782967e-03	4.5207005141e-03	2.1035977557e+01	     6	4.5128973042e-01	3.2145274316e-01	1.6363026029e+01
  4	    24	1.4491825166e-03	1.1446289437e-03	2.4135461373e+01	    15	1.3107640543e-02	1.2113036692e-02	2.6874238178e+01
  6	    44	5.6187194616e-04	4.2512089481e-04	2.6786221848e+01	    28	2.6877823607e-03	2.2770281394e-03	2.2044547012e+01
  8	    64	2.0351999475e-04	1.5762161274e-04	3.0673203990e+01	    45	3.3263468372e-04	2.7788486193e-04	3.1889559128e+01
 10	    96	1.0723671093e-04	8.2442145594e-05	3.1607010848e+01	    66	3.1086233282e-04	2.6612882029e-04	2.5138328425e+01
 12	   128	4.6237828241e-05	3.5318294910e-05	3.0973918207e+01	    91	4.7546829232e-04	4.0134663073e-04	2.5495211321e+01
 14	   168	1.6765562383e-05	1.2815643487e-05	3.0154340258e+01	   120	1.2951318749e-04	1.0865272722e-04	2.7680768958e+01
 16	   208	3.8595989569e-06	2.9447759505e-06	2.9856503349e+01	   153	5.3962595890e-05	4.4934720357e-05	2.5032138080e+01
 18	   264	1.6730014046e-05	1.2741506418e-05	3.0651813922e+01	   190	1.1689539147e-05	9.8451771820e-06	2.4232039226e+01
 20	   312	1.3740931638e-06	1.0490646537e-06	3.3752019411e+01	   231	2.8901358899e-05	2.3926546226e-05	2.8012736636e+01
 22	   372	1.9376817660e-05	1.4714480676e-05	3.0624664945e+01	   276	2.6106668144e-05	2.1611315864e-05	2.6325937505e+01
 24	   436	5.3220650085e-06	4.0288641051e-06	2.9820266432e+01	   325	2.6571476711e-05	2.1938251894e-05	2.5132580176e+01
 26	   520	4.5903837698e-07	3.5078822201e-07	3.5373626561e+01	   378	3.4067970754e-06	2.8598733753e-06	2.9592622510e+01
 28	   600	4.9967041540e-06	3.7951217655e-06	3.1132134972e+01	   435	1.0125671427e-05	8.4511881397e-06	2.4911677506e+01
 30	   684	2.7562599115e-06	2.0930095641e-06	3.2501764712e+01	   496	9.4313945517e-06	7.8422513795e-06	2.7210437086e+01
