ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	1.4516309303e-02	1.2645088767e-02	1.7540696045e+01	     6	4.6360711626e-01	4.2130309041e-01	1.6900314422e+01
  4	   312	1.7320567794e-03	1.4717255251e-03	2.0704909491e+01	    15	5.4434754490e-02	4.5918695930e-02	3.1314866361e+01
  6	   572	4.8212413604e-04	4.0431985773e-04	2.2506229823e+01	    28	1.9311048983e-02	1.5757039732e-02	2.3510641554e+01
  8	   832	3.2332318625e-04	2.6968391209e-04	2.5644627388e+01	    45	7.4826621247e-04	6.3483466461e-04	2.8600496366e+01
 10	  1248	5.5551333963e-05	4.6279693029e-05	2.6110641220e+01	    66	1.0115180821e-03	8.2258276490e-04	3.1076895610e+01
 12	  1664	3.7112748028e-05	3.0829621802e-05	2.5266049690e+01	    91	1.6771300342e-04	1.4095426421e-04	4.1688833885e+01
 14	  2184	6.6174555450e-05	5.4935960070e-05	2.5315132842e+01	   120	2.6247522963e-04	2.2264054334e-04	3.9088355393e+01
 16	  2704	4.0313832566e-05	3.3474841964e-05	2.5091673471e+01	   153	1.3963408162e-04	1.1867196685e-04	3.8869178464e+01
 18	  3432	5.5711002963e-06	4.6275323419e-06	2.5678612054e+01	   190	2.7967872519e-05	2.3505361102e-05	3.5273362494e+01
 20	  4056	6.7988292449e-06	5.6473567323e-06	2.8163246050e+01	   231	1.0141991006e-04	8.6324920224e-05	3.7981436433e+01
 22	  4836	3.5888394925e-06	2.9766874926e-06	2.5764563724e+01	   276	1.5735698042e-04	1.3229628644e-04	4.4429460160e+01
 24	  5668	2.9672530005e-06	2.4560401889e-06	2.5116422163e+01	   325	3.1936820294e-06	2.6666830785e-06	3.8746097634e+01
 26	  6760	4.8407532762e-06	4.0177445401e-06	2.9367354815e+01	   378	2.9874063255e-06	2.5135310548e-06	3.9434752833e+01
 28	  7800	3.1249935179e-06	2.5899942521e-06	2.6111878929e+01	   435	1.1364066467e-08	9.6472440294e-09	4.4268126721e+01
