ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	3.1856202483e-07	2.8213797085e-07	1.0073167449e+00	     6	2.4696823066e-06	3.0031643698e-06	1.0069612802e+00
  4	    24	1.3142780217e-07	1.1012169356e-07	1.0074767861e+00	    15	1.4224511276e-07	1.1917360303e-07	1.0075786403e+00
  6	    44	1.3099823715e-07	1.0860725925e-07	1.0078435530e+00	    28	1.3071857113e-07	1.0860571563e-07	1.0081477907e+00
  8	    64	1.3131377413e-07	1.0832378373e-07	1.0082095784e+00	    45	1.3022873746e-07	1.0832378167e-07	1.0080010535e+00
 10	    96	1.3129101004e-07	1.0764258785e-07	1.0082290075e+00	    66	1.3095026021e-07	1.0764258853e-07	1.0082305734e+00
 12	   128	1.3115621901e-07	1.0713550148e-07	1.0080691996e+00	    91	1.3089957157e-07	1.0713287185e-07	1.0082845571e+00
 14	   168	1.3124759240e-07	1.0698283147e-07	1.0081753624e+00	   120	1.3096648779e-07	1.0698283106e-07	1.0081742735e+00
 16	   208	1.3124981484e-07	1.0684598186e-07	1.0081393895e+00	   153	1.3046173495e-07	1.0684348961e-07	1.0078621304e+00
 18	   264	1.3125689201e-07	1.0677808188e-07	1.0082134247e+00	   190	1.3051100938e-07	1.0677808324e-07	1.0080463245e+00
 20	   312	1.3119374144e-07	1.0652419856e-07	1.0085417048e+00	   231	1.3032820172e-07	1.0667217447e-07	1.0082637673e+00
 22	   372	1.3126299367e-07	1.0660401207e-07	1.0082329443e+00	   276	1.3041841681e-07	1.0660400937e-07	1.0082581895e+00
 24	   436	1.3126543706e-07	1.0636976104e-07	1.0081469358e+00	   325	1.3065814088e-07	1.0636976091e-07	1.0081626820e+00
 26	   520	1.3116189993e-07	1.0642579840e-07	1.0086916551e+00	   378	1.3051736592e-07	1.0642579934e-07	1.0080983938e+00
 28	   600	1.3122645558e-07	1.0636041361e-07	1.0082756135e+00	   435	1.3068795016e-07	1.0636041428e-07	1.0080686355e+00
 30	   684	1.3121909417e-07	1.0629724531e-07	1.0083866155e+00	   496	1.3034703816e-07	1.0629724275e-07	1.0082189409e+00
 32	   772	1.3121177865e-07	1.0621814640e-07	1.0084710672e+00	   561	1.3044555493e-07	1.0623362811e-07	1.0081166681e+00
 34	   856	1.3120777002e-07	1.0633294426e-07	1.0086590587e+00	   630	1.3056075523e-07	1.0633294183e-07	1.0081146284e+00
 36	   972	1.3122874677e-07	1.0627652568e-07	1.0083577560e+00	   703	1.3051270859e-07	1.0627651449e-07	1.0081380985e+00
 38	  1068	1.3121846139e-07	1.0628570476e-07	1.0083975457e+00	   780	1.3057377653e-07	1.0628570098e-07	1.0080974359e+00
 40	  1180	1.3119545003e-07	1.0628614811e-07	1.0086500324e+00	   861	1.3062910151e-07	1.0631865302e-07	1.0080885792e+00
 42	  1296	1.3120704477e-07	1.0621421734e-07	1.0085158364e+00	   946	1.3055611552e-07	1.0621421774e-07	1.0081562448e+00
 44	  1416	1.3122479639e-07	1.0622897440e-07	1.0083693812e+00	  1035	1.3043381829e-07	1.0624714312e-07	1.0081231589e+00
 46	  1540	1.3123434705e-07	1.0617717355e-07	1.0083123909e+00	  1128	1.3051820763e-07	1.0617717234e-07	1.0080768132e+00
 48	  1692	1.3122316637e-07	1.0622458584e-07	1.0084346505e+00	  1225	1.3051490951e-07	1.0624692885e-07	1.0080979939e+00
 50	  1812	1.3121463581e-07	1.0622550380e-07	1.0084172003e+00	  1326	1.3059658518e-07	1.0622549895e-07	1.0081117549e+00
