ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	1.0690933415e-05	8.1965345987e-06	1.0121750978e+00	     6	6.5069833535e-04	7.5396854447e-04	1.0092805925e+00
  4	   312	7.8355820355e-07	5.7508911257e-07	1.0127265909e+00	    15	4.5170713382e-05	4.5391096772e-05	1.0092835047e+00
  6	   572	5.0504309025e-08	3.6324942581e-08	1.0132491526e+00	    28	2.5408836013e-06	2.7564495234e-06	1.0094399653e+00
  8	   832	8.5215350994e-10	5.9414268305e-10	1.0139926534e+00	    45	2.0925307125e-07	1.3075139505e-07	1.0100276198e+00
 10	  1248	3.3260826307e-10	2.4930046235e-10	1.0140935630e+00	    66	5.3161002385e-08	4.5024829955e-08	1.0094771005e+00
 12	  1664	1.9968550904e-10	1.5209534394e-10	1.0139331481e+00	    91	2.9644211512e-08	2.7132781099e-08	1.0104399482e+00
 14	  2184	4.9245437840e-11	3.3637237238e-11	1.0138984403e+00	   120	6.9460133545e-09	6.9176668169e-09	1.0100934975e+00
 16	  2704	2.2533269138e-11	1.5390114644e-11	1.0138432153e+00	   153	1.9565095274e-09	1.9452999205e-09	1.0098597745e+00
 18	  3432	1.1598025324e-11	7.8645801636e-12	1.0139873782e+00	   190	9.7294565188e-11	9.3751894404e-11	1.0098833741e+00
 20	  4056	6.8625582216e-12	4.6776941024e-12	1.0145396483e+00	   231	2.1993481340e-10	1.3371306299e-10	1.0099444837e+00
 22	  4836	3.4506030928e-12	2.3240538085e-12	1.0139826892e+00	   276	4.2771623557e-10	2.0163919500e-10	1.0102718833e+00
 24	  5668	6.3733310589e-12	4.2839283771e-12	1.0138341039e+00	   325	1.1989134736e-10	1.1931080993e-10	1.0100684543e+00
 26	  6760	1.0757310653e-12	7.3585312619e-13	1.0148179650e+00	   378	1.5460706671e-10	1.3950891070e-10	1.0101567164e+00
 28	  7800	1.4777289117e-12	1.0042378466e-12	1.0140763063e+00	   435	1.1906636058e-10	1.0659063162e-10	1.0102755876e+00
 30	  8892	2.1632191846e-12	1.4645735794e-12	1.0143246050e+00	   496	4.7916326411e-11	4.6753680013e-11	1.0099871615e+00
