ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.5521406773e-02	1.8694523703e-02	7.0087687265e+01	     6	4.6895491518e-01	5.8099578793e-01	2.9433725484e+01
  4	   114	2.0174702493e-03	2.7334611189e-03	7.7917697170e+01	    15	1.9063519660e-02	2.6415996084e-02	2.0277614565e+01
  6	   209	3.7192625725e-05	3.6458003098e-05	8.3681935360e+01	    28	2.9191392701e-03	3.4819516575e-03	2.3873782017e+01
  8	   304	2.0299064785e-05	2.6008179387e-05	9.8090092069e+01	    45	1.1970100540e-05	1.2732628550e-05	2.6455376726e+01
 10	   456	4.1083977350e-06	5.4036782354e-06	1.0017844214e+02	    66	2.7392178321e-05	3.1690570636e-05	2.4417653501e+01
 12	   608	6.9415863135e-07	8.5374063646e-07	9.8685306324e+01	    91	3.5642410355e-06	4.4677961061e-06	2.4371972756e+01
 14	   798	5.0099575505e-07	4.7304193467e-07	9.6514867902e+01	   120	2.3002390750e-06	2.6925841804e-06	2.0864568284e+01
 16	   988	1.4401980709e-07	1.1022487381e-07	9.5591458358e+01	   153	3.6659738674e-07	4.5144107180e-07	2.5418691719e+01
 18	  1254	4.7201127089e-08	5.5949097152e-08	9.7977554210e+01	   190	3.6734649797e-07	3.3940540500e-07	2.5744992544e+01
 20	  1482	9.4216588855e-09	1.0959744354e-08	1.0738260370e+02	   231	7.4911362332e-08	7.2259212038e-08	2.3796727728e+01
 22	  1767	1.5862515256e-08	1.4408189347e-08	9.7949372719e+01	   276	6.8743368044e-08	8.4760013961e-08	2.8530886466e+01
 24	  2071	6.6656061055e-09	8.6525876022e-09	9.5476728686e+01	   325	2.1919706534e-08	2.2009171048e-08	2.4963302249e+01
 26	  2470	3.4611691293e-09	3.8304362913e-09	1.1222457021e+02	   378	1.5042766028e-08	1.0323145121e-08	2.5180152542e+01
 28	  2850	4.7572057458e-09	4.8319411775e-09	9.9473440184e+01	   435	2.0246702046e-09	2.2501891744e-09	2.4039773608e+01
 30	  3249	6.1488099358e-09	5.6785110916e-09	1.0362006307e+02	   496	7.7647382483e-09	7.5171184770e-09	2.5931897179e+01
