ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.6837906764e-03	1.3045954867e-03	6.0749322261e+01	     6	5.8600187569e-02	4.3107737492e-02	6.9515027793e+01
  4	    24	2.9181868515e-06	2.3298148380e-06	6.8199538272e+01	    15	3.8843017065e-05	2.9871614260e-05	7.9418920645e+01
  6	    44	6.7869616896e-10	5.5073702144e-10	7.5266210358e+01	    28	5.0574713613e-08	4.0166118505e-08	9.6788179396e+01
  8	    64	1.0461647544e-11	9.8827634272e-12	8.6260581969e+01	    45	1.1184048919e-11	1.0889617145e-11	9.0231648060e+01
 10	    96	8.8373670400e-12	9.9158221554e-12	8.7524817765e+01	    66	9.2344273348e-12	9.0808327763e-12	1.0955325590e+02
 12	   128	1.0456061805e-11	1.2883015209e-11	8.5749282115e+01	    91	9.7513189279e-12	9.2807991231e-12	1.0356828553e+02
 14	   168	9.8372884695e-12	1.0716409260e-11	8.4958401752e+01	   120	9.5802462961e-12	1.1302509411e-11	1.1455919495e+02
 16	   208	9.8186198216e-12	1.1369003281e-11	8.4138306126e+01	   153	9.1207356091e-12	1.0714186232e-11	9.6721925521e+01
 18	   264	9.3494972460e-12	1.2695057209e-11	8.6229457133e+01	   190	8.9223765499e-12	1.2829146187e-11	1.0210641703e+02
 20	   312	9.9331332836e-12	1.2594521139e-11	9.4707246149e+01	   231	9.5486024509e-12	1.1539481750e-11	1.0417156735e+02
 22	   372	9.8352339466e-12	1.2922723747e-11	8.6175647524e+01	   276	9.3979225393e-12	1.2778031828e-11	1.0791952022e+02
 24	   436	9.9764488240e-12	1.4049665564e-11	8.3988720607e+01	   325	9.6399489750e-12	1.4159681217e-11	1.0338361535e+02
 26	   520	1.0312419356e-11	1.2898238902e-11	9.9085721719e+01	   378	1.0191282445e-11	1.2967767253e-11	1.0312990877e+02
 28	   600	1.0099328433e-11	1.3054708115e-11	8.7627476402e+01	   435	9.7373092823e-12	1.2840285940e-11	1.0223675812e+02
 30	   684	9.9255711208e-12	1.7262950392e-11	9.1326771472e+01	   496	9.3471369957e-12	1.7167775683e-11	1.1087822944e+02
