ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	3.1590281912e-03	2.1263592616e-03	5.1692185311e+03	     6	7.1024126041e-01	6.1060195113e-01	1.2123368663e+02
  4	   312	2.5649120170e-14	1.8592241699e-14	5.4480786199e+03	    15	2.4729278287e-14	1.8415172730e-14	3.6152655390e+03
  6	   572	5.1794667552e-14	3.6894543695e-14	5.5841120188e+03	    28	3.8391313120e-14	2.6170346240e-14	2.4111097813e+03
  8	   832	5.5693593768e-14	3.5317099975e-14	6.2086622420e+03	    45	3.0744183703e-14	2.2577141537e-14	2.8069593478e+03
 10	  1248	6.4018195498e-14	4.2731203514e-14	6.3992816108e+03	    66	3.3220252579e-14	2.4496014512e-14	2.6859526898e+03
 12	  1664	3.9257148848e-14	4.4671226443e-14	6.2196399789e+03	    91	1.7403639639e-14	1.4162052380e-14	3.9740982227e+03
 14	  2184	8.1881901320e-14	1.9260980773e-13	6.3078632248e+03	   120	3.1239819060e-14	2.2892872232e-14	3.7442422583e+03
 16	  2704	2.1913982430e-14	6.7138542682e-14	6.2517085934e+03	   153	6.5935791698e-14	4.6786987943e-14	3.6719048774e+03
 18	  3432	5.4002665951e-14	1.2688269228e-13	6.3054269564e+03	   190	3.1009341587e-14	2.3917121968e-14	3.5272585614e+03
 20	  4056	2.5630141836e-14	6.1158947850e-14	6.8120336126e+03	   231	3.2231656914e-14	2.3492805348e-14	3.8597515265e+03
 22	  4836	9.9372857482e-14	3.5565281892e-13	6.4152304318e+03	   276	1.3888907161e-13	9.8472241244e-14	4.0788221119e+03
 24	  5668	4.1857250448e-14	2.4704657093e-13	6.3186294941e+03	   325	1.6257684883e-14	1.6175635634e-14	3.9108244385e+03
 26	  6760	5.7258932731e-14	4.5655289039e-13	7.0051018221e+03	   378	4.0591311004e-14	3.0037398277e-14	3.7517495004e+03
 28	  7800	8.5211305577e-14	4.3134103598e-13	6.4411865709e+03	   435	7.8686563086e-14	5.7144631893e-14	4.0758456608e+03
 30	  8892	8.1929437458e-14	4.9167290792e-13	6.4279248540e+03	   496	6.5232235256e-14	4.9252475892e-14	3.7134405578e+03
