ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	3.1623703377e-08	2.1286089623e-08	1.0007194725e+00	     6	2.8243274419e-04	2.4281042834e-04	1.0007003028e+00
  4	   312	9.4127301373e-16	1.9477586541e-15	1.0007382474e+00	    15	1.7309520613e-16	1.7706896856e-16	1.0005770715e+00
  6	   572	1.1933082042e-15	2.8000323340e-15	1.0007474145e+00	    28	2.9317782857e-16	5.0652283044e-16	1.0004910297e+00
  8	   832	1.4930013627e-15	3.3865712305e-15	1.0007881341e+00	    45	2.9982282243e-16	3.2253059338e-16	1.0005297589e+00
 10	  1248	1.7019574202e-15	4.6412168611e-15	1.0008001500e+00	    66	4.0192025877e-16	6.5322705366e-16	1.0005182030e+00
 12	  1664	1.9107687622e-15	4.7169749090e-15	1.0007888311e+00	    91	5.5741754111e-16	1.1138692883e-15	1.0006304445e+00
 14	  2184	2.4380906144e-15	6.8992217687e-15	1.0007944100e+00	   120	5.3457421848e-16	9.4080296846e-16	1.0006119259e+00
 16	  2704	2.4455647075e-15	4.7100994574e-15	1.0007908635e+00	   153	6.3127074836e-16	9.4201989148e-16	1.0006059809e+00
 18	  3432	2.9651686175e-15	7.8674743315e-15	1.0007942565e+00	   190	9.0296788512e-16	1.8881938396e-15	1.0005939152e+00
 20	  4056	3.5292480803e-15	9.2405034369e-15	1.0008255699e+00	   231	7.7374079723e-16	1.7228057255e-15	1.0006213009e+00
 22	  4836	3.6412482638e-15	1.1097665283e-14	1.0008011472e+00	   276	8.1969749951e-16	1.5630514483e-15	1.0006387039e+00
 24	  5668	4.0205836311e-15	1.2223282678e-14	1.0007950882e+00	   325	8.1996616867e-16	1.5704500615e-15	1.0006254014e+00
 26	  6760	4.3673386597e-15	1.1361295721e-14	1.0008371956e+00	   378	9.1993762477e-16	1.7119760676e-15	1.0006125395e+00
 28	  7800	4.8385363755e-15	1.3820304996e-14	1.0008027675e+00	   435	1.1068369134e-15	2.1739805611e-15	1.0006384706e+00
 30	  8892	4.8887908918e-15	1.2545441972e-14	1.0008019400e+00	   496	1.1031325868e-15	2.6329939942e-15	1.0006094016e+00
