ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.5042813696e-03	1.1258509950e-03	1.2363525398e+00	     6	4.1479024526e-02	2.9643927449e-02	1.2237286498e+00
  4	    24	3.0828188979e-16	3.8414082512e-16	1.2123200423e+00	    15	2.9810531336e-16	5.1218776682e-16	1.2015285200e+00
  6	    44	3.1909855302e-16	3.4206052033e-16	1.2160679555e+00	    28	2.4928321541e-16	3.4206052033e-16	1.2197874312e+00
  8	    64	3.1492322524e-16	4.5386159448e-16	1.2327974908e+00	    43	3.4061993205e-16	4.5386159448e-16	1.2336376742e+00
 10	    96	4.7250004703e-16	6.5105350482e-16	1.2388448750e+00	    66	3.7675338793e-16	6.5105350482e-16	1.2323397061e+00
 12	   128	5.6272884454e-16	8.5017630923e-16	1.2351195652e+00	    91	5.4018254995e-16	8.5017630923e-16	1.2246104917e+00
 14	   168	6.9862553261e-16	1.9758945053e-15	1.2371390563e+00	   120	6.2037295190e-16	1.1439389241e-15	1.2323297028e+00
 16	   208	8.0499074647e-16	1.2378526875e-15	1.2352124228e+00	   153	5.5276088170e-16	1.0315439063e-15	1.2240314393e+00
 18	   264	1.0142921796e-15	1.8460963477e-15	1.2355800897e+00	   190	7.8031384675e-16	1.5384136231e-15	1.2247520343e+00
 20	   312	9.4151173781e-16	1.8217264062e-15	1.2456251764e+00	   231	9.0758340251e-16	1.7205193836e-15	1.2337372357e+00
 22	   372	1.1217112075e-15	2.2304882955e-15	1.2397159992e+00	   276	7.6063040419e-16	1.4194016426e-15	1.2300942059e+00
 24	   436	1.1408744936e-15	2.6973396568e-15	1.2377819784e+00	   325	8.9670478908e-16	1.7982264379e-15	1.2281121973e+00
 26	   520	1.4490032518e-15	3.8143024096e-15	1.2473370068e+00	   378	1.0859068851e-15	2.4090331008e-15	1.2370625332e+00
 28	   600	1.3867425205e-15	3.7985946106e-15	1.2395478999e+00	   435	1.1231715512e-15	1.9992603214e-15	1.2287338659e+00
 30	   684	1.5131628883e-15	3.7834962680e-15	1.2370502193e+00	   496	1.2352763315e-15	2.5887079728e-15	1.2273878852e+00
