ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	2.2949158408e-03	1.0562600451e-03	2.4127351717e+02	     6	1.3497748106e-01	1.2067481206e-01	1.1764639216e+02
  4	   312	1.6763065493e-04	7.0042783596e-05	2.6993286430e+02	    15	1.5246043333e-02	1.5515066656e-02	1.1460687175e+02
  6	   572	1.0849419438e-05	4.7579222544e-06	2.9810814908e+02	    28	7.3616412639e-04	7.8294980962e-04	1.2418641744e+02
  8	   832	1.8197779231e-07	6.9191167378e-08	3.3941824767e+02	    45	9.1170558792e-05	8.7100150278e-05	1.4814489902e+02
 10	  1248	9.5857238953e-08	7.1407337799e-08	3.4558178148e+02	    66	2.0404138248e-05	2.0297672438e-05	1.2893344339e+02
 12	  1664	5.8144699418e-08	4.3187511476e-08	3.3602931216e+02	    91	6.2692785151e-06	3.7980479820e-06	1.6704479083e+02
 14	  2184	1.0503337932e-08	3.8664934533e-09	3.3345839753e+02	   120	1.6569385832e-06	1.4985114598e-06	1.5354824597e+02
 16	  2704	4.8062170580e-09	1.7699570542e-09	3.3032699034e+02	   153	4.7514304130e-07	4.2231365130e-07	1.4609719787e+02
 18	  3432	2.4741151657e-09	9.0554167720e-10	3.3872651223e+02	   190	3.2219677013e-08	3.1974912244e-08	1.4454564744e+02
 20	  4056	1.4622505729e-09	5.3680464859e-10	3.7087602421e+02	   231	9.4246128889e-08	8.5486895013e-08	1.4878451210e+02
 22	  4836	7.3617617361e-10	2.6673625425e-10	3.3836418336e+02	   276	1.8450416654e-07	1.6609771783e-07	1.6400296161e+02
 24	  5668	1.3597969377e-09	4.8951538892e-10	3.2982133108e+02	   325	3.1948302204e-08	3.0679884319e-08	1.5459470994e+02
 26	  6760	2.2908026666e-10	8.4097696626e-11	3.8762210586e+02	   378	3.2315296603e-08	1.7304378508e-08	1.5761760800e+02
 28	  7800	3.1506565000e-10	1.1446646536e-10	3.4364198409e+02	   435	2.4594496965e-08	1.1796973352e-08	1.6393721030e+02
 30	  8892	4.6116450429e-10	1.6718673711e-10	3.5837121956e+02	   496	1.1183552423e-08	9.3399668955e-09	1.5153704297e+02
