ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	3.2396279133e-05	3.5909822119e-05	1.0019864696e+00	     6	7.8328284828e-04	9.0289507231e-04	1.0035478027e+00
  4	   114	4.6587481504e-06	5.2108067980e-06	1.0023685419e+00	    15	1.4435920537e-04	1.6864327509e-04	1.0020358069e+00
  6	   209	4.8141967603e-08	5.3651748160e-08	1.0024144713e+00	    28	2.2677206816e-06	2.5307150047e-06	1.0019894962e+00
  8	   304	4.8559042474e-10	5.4732587402e-10	1.0025370907e+00	    45	2.2127591873e-07	2.4165818486e-07	1.0024123777e+00
 10	   456	4.6789725392e-12	5.2820275157e-12	1.0025887918e+00	    66	6.4809041190e-10	7.2744087043e-10	1.0019232684e+00
 12	   608	5.2391675419e-13	5.9248115243e-13	1.0025829216e+00	    91	5.1732120126e-13	5.6801256854e-13	1.0021227995e+00
 14	   798	5.4525400464e-13	6.1550925843e-13	1.0025621179e+00	   120	5.6297531096e-13	6.1516775154e-13	1.0020285671e+00
 16	   988	5.4519438523e-13	6.1558930480e-13	1.0025621762e+00	   153	5.6447615629e-13	6.1601075988e-13	1.0021773153e+00
 18	  1254	5.4527424262e-13	6.1590250680e-13	1.0025628864e+00	   190	5.6964730925e-13	6.0992980732e-13	1.0021628560e+00
 20	  1482	5.4463067118e-13	6.1636722072e-13	1.0026724782e+00	   231	5.5366111794e-13	6.1557029229e-13	1.0020987313e+00
 22	  1767	5.4532985919e-13	6.1730643525e-13	1.0025741134e+00	   276	5.6078506036e-13	6.1629070103e-13	1.0022490610e+00
 24	  2071	5.4541385613e-13	6.1751742441e-13	1.0025490305e+00	   325	5.5918489957e-13	6.1558199000e-13	1.0021602776e+00
 26	  2470	5.4439436704e-13	6.1768869048e-13	1.0027269237e+00	   378	5.6093041705e-13	6.1393270619e-13	1.0021961258e+00
 28	  2850	5.4497683587e-13	6.1800540488e-13	1.0025898832e+00	   435	5.5716016286e-13	6.1609408284e-13	1.0020994762e+00
 30	  3249	5.4489665369e-13	6.1894913155e-13	1.0026002140e+00	   496	5.6266276372e-13	6.1593722034e-13	1.0021648039e+00
