ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	3.9497558287e-01	2.9494418522e-01	2.8561543450e+03	     6	5.3834234047e-01	4.3799322961e-01	1.3624278809e+02
  4	   114	1.0215091425e-14	1.0312919411e-14	1.4938291771e+03	    15	5.2120306836e-14	3.9397669659e-14	1.3368937714e+03
  6	   209	8.4077287864e-15	1.4862804537e-14	1.6105224590e+03	    28	2.9450588136e-14	2.1879783389e-14	1.3208370710e+03
  8	   304	3.7520381808e-15	7.1816621777e-15	1.8544650790e+03	    45	1.3950645989e-14	1.0601501310e-14	1.2196756847e+03
 10	   456	5.5870352816e-15	8.7631672565e-15	1.9000162580e+03	    66	2.6766883312e-14	2.1737207091e-14	1.4161198685e+03
 12	   608	2.9791512660e-14	3.0386566980e-14	1.8663972980e+03	    91	4.7298898881e-14	3.6304550063e-14	1.5387528932e+03
 14	   798	1.3126279427e-14	2.3222468785e-14	1.8677253808e+03	   120	4.7027734331e-15	5.9194528276e-15	1.3320977289e+03
 16	   988	1.1976493706e-14	2.2664620103e-14	1.8374234064e+03	   153	5.1370323395e-14	4.0588530541e-14	1.6218410302e+03
 18	  1254	8.3533400729e-15	2.0719825552e-14	1.8755855133e+03	   190	6.6407351318e-14	5.0713520975e-14	1.5823810926e+03
 20	  1482	9.5082762450e-15	2.6298638343e-14	2.0236220848e+03	   231	3.5250691680e-14	3.0283280516e-14	1.5534309506e+03
 22	  1767	2.2488885901e-14	3.5401493890e-14	1.9124151759e+03	   276	4.9647223634e-14	4.2581326840e-14	1.7021843836e+03
 24	  2071	1.8546340201e-14	4.7247369308e-14	1.8773945860e+03	   325	5.1026655329e-14	4.5539633068e-14	1.5198071736e+03
 26	  2470	1.1425784632e-14	3.8698020041e-14	2.0621737822e+03	   378	5.0535063811e-14	4.3136910576e-14	1.5154392627e+03
 28	  2850	3.6798114775e-14	5.0314678386e-14	1.9161482968e+03	   435	1.0690737437e-13	8.1295726325e-14	1.5537042351e+03
 30	  3249	1.5668868343e-14	4.9625197013e-14	1.9428828788e+03	   496	7.7991375002e-14	6.6818545249e-14	1.6110436276e+03
