ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.0720627077e-01	1.1883334187e-01	1.3231723288e+02	     6	2.3476810610e+00	2.7061867446e+00	3.7392243995e+02
  4	   114	1.3703876283e-02	1.5327776773e-02	1.6662397865e+02	    15	3.1122297937e-01	3.6357683176e-01	9.1158690187e+01
  6	   209	1.4013827525e-04	1.5617690527e-04	1.7128354060e+02	    28	6.5489557987e-03	7.3084577133e-03	1.1607034328e+02
  8	   304	1.4136994682e-06	1.5934318855e-06	1.8891592101e+02	    45	6.4497782325e-04	7.0438830765e-04	1.7121538496e+02
 10	   456	1.3621876165e-08	1.5375983123e-08	1.9660227583e+02	    66	1.8868057208e-06	2.1178220582e-06	1.0947317765e+02
 12	   608	1.5254407700e-09	1.7241003511e-09	1.9572183388e+02	    91	1.5063118650e-09	1.6545392399e-09	1.3290610872e+02
 14	   798	1.5872720588e-09	1.7924045106e-09	1.9261759266e+02	   120	1.6391221955e-09	1.7922771285e-09	1.2155195509e+02
 16	   988	1.5873690857e-09	1.7921492551e-09	1.9262626088e+02	   153	1.6432689589e-09	1.7938859257e-09	1.3970934151e+02
 18	  1254	1.5875924607e-09	1.7923934415e-09	1.9273182547e+02	   190	1.6584046732e-09	1.7751418993e-09	1.3788815745e+02
 20	  1482	1.5856727026e-09	1.7923567145e-09	2.0937057302e+02	   231	1.6123136623e-09	1.7923862009e-09	1.2995725924e+02
 22	  1767	1.5877648838e-09	1.7925466749e-09	1.9440446050e+02	   276	1.6325247763e-09	1.7928192513e-09	1.4892471229e+02
 24	  2071	1.5878605236e-09	1.7924610196e-09	1.9067756353e+02	   325	1.6280176090e-09	1.7923579862e-09	1.3756468123e+02
 26	  2470	1.5846555624e-09	1.7926402513e-09	2.1789468206e+02	   378	1.6330980208e-09	1.7900425898e-09	1.4209666673e+02
 28	  2850	1.5867575621e-09	1.7926373157e-09	1.9676620965e+02	   435	1.6221775302e-09	1.7928430037e-09	1.3004802338e+02
 30	  3249	1.5861273583e-09	1.7922614528e-09	1.9832116684e+02	   496	1.6379929975e-09	1.7927183476e-09	1.3813279710e+02
