ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	6.1603065827e-04	6.1298425966e-04	1.7028804394e+03	     6	1.7617625776e-01	1.5799586844e-01	2.1930281446e+03
  4	    24	2.6088230129e-05	2.4608879988e-05	1.9131028786e+03	    15	1.8448160976e-04	1.9243306615e-04	3.3949781782e+03
  6	    44	1.7566183840e-07	1.5613033844e-07	2.1270469203e+03	    28	1.6372042571e-04	1.5980222064e-04	3.2355876912e+03
  8	    64	1.6999475008e-10	1.5660732595e-10	2.4214476654e+03	    43	3.6127595910e-07	3.5626955127e-07	3.7004029543e+03
 10	    96	1.7999190148e-13	2.4202914042e-13	2.5075064253e+03	    66	4.1387451506e-09	4.1637853458e-09	3.0110202135e+03
 12	   128	1.4365614572e-13	2.0723047538e-13	2.4428595756e+03	    91	3.8971047357e-12	3.9643721300e-12	3.2617360040e+03
 14	   168	1.4453212733e-13	2.1797236226e-13	2.4180693678e+03	   120	1.2818399230e-13	2.0861286198e-13	3.5268086584e+03
 16	   208	1.2008651611e-13	1.4039312564e-13	2.3939165821e+03	   153	1.2322544976e-13	1.3451332538e-13	3.0333549057e+03
 18	   264	1.6678970251e-13	2.3271070072e-13	2.4461627567e+03	   190	1.6117930830e-13	3.0891345552e-13	3.0543770488e+03
 20	   312	2.5211491072e-13	6.7560747913e-13	2.7018574473e+03	   231	2.9414328377e-13	1.2256423450e-12	3.3998586546e+03
 22	   372	2.3314827375e-13	3.9482177476e-13	2.4471704792e+03	   276	2.1375832013e-13	6.6460947268e-13	3.2521613759e+03
 24	   436	1.0865447849e-13	1.2507663890e-13	2.3883047096e+03	   325	1.0168737941e-13	1.8247003271e-13	3.1565307054e+03
 26	   520	1.2935167203e-13	2.3126717768e-13	2.8319139056e+03	   378	1.2318646898e-13	2.8366364762e-13	3.7323331422e+03
 28	   600	1.2793683591e-13	1.6933734922e-13	2.4976424250e+03	   435	1.1594346857e-13	1.8773054418e-13	3.3453362532e+03
 30	   684	1.7377085064e-13	5.8445060771e-13	2.5952257059e+03	   496	1.3869750254e-13	2.1804886386e-13	3.6583676847e+03
