ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	5.2798508694e-07	3.4295479390e-07	1.0663423129e+00	     6	7.8474168294e-05	4.8545994275e-05	1.0724584768e+00
  4	    24	8.8802967771e-10	5.3901835237e-10	1.0702070254e+00	    15	2.8334104716e-07	1.7228260876e-07	1.0762464460e+00
  6	    44	1.7881604658e-12	1.0694853956e-12	1.0737783613e+00	    28	2.8713433026e-10	1.7479471454e-10	1.0839386415e+00
  8	    64	1.2758399081e-15	1.2862623224e-15	1.0789751841e+00	    45	2.6130006356e-13	1.5933477713e-13	1.0811419773e+00
 10	    96	3.8460218053e-16	6.9269429624e-16	1.0796130335e+00	    66	1.2975014676e-15	1.1544904937e-15	1.0885001752e+00
 12	   128	5.5862466441e-16	1.1413980476e-15	1.0784665424e+00	    91	3.3022437085e-16	5.7069902381e-16	1.0869644522e+00
 14	   168	5.6759716089e-16	1.1321770255e-15	1.0781975138e+00	   120	4.6767001785e-16	7.9252391782e-16	1.0907405587e+00
 16	   208	6.2176781807e-16	1.2419848690e-15	1.0778181711e+00	   153	4.9982103911e-16	9.0326172289e-16	1.0834044205e+00
 18	   264	7.1170747570e-16	1.4636873079e-15	1.0788459258e+00	   190	5.6024739210e-16	1.3558704662e-15	1.0858112186e+00
 20	   312	7.5196655389e-16	1.4583029132e-15	1.0825948610e+00	   231	6.6675156276e-16	1.5704800603e-15	1.0869115532e+00
 22	   372	9.4930809908e-16	2.0175394412e-15	1.0788037784e+00	   276	6.4999098305e-16	1.3450262941e-15	1.0884879597e+00
 24	   436	8.9394356195e-16	2.1156711395e-15	1.0777664151e+00	   325	7.1269977554e-16	1.6702666891e-15	1.0868159316e+00
 26	   520	9.0953864372e-16	2.2346137608e-15	1.0844884193e+00	   378	8.6300188770e-16	2.0111523847e-15	1.0860136100e+00
 28	   600	1.0128915242e-15	2.1196066044e-15	1.0794120009e+00	   435	8.7528555534e-16	1.6733736351e-15	1.0865341593e+00
 30	   684	1.1375515135e-15	2.6734075634e-15	1.0811607418e+00	   496	9.9023800876e-16	2.3392316180e-15	1.0897170353e+00
 32	   772	1.2478371024e-15	3.2243460800e-15	1.0817884594e+00	   561	1.0174954384e-15	2.0013182565e-15	1.0877283761e+00
 34	   856	1.3017931781e-15	2.7871463975e-15	1.0838636914e+00	   630	1.1242406227e-15	3.1216039652e-15	1.0844406324e+00
 36	   972	1.3981987318e-15	3.2277540660e-15	1.0805959280e+00	   703	1.1558955800e-15	2.5638612000e-15	1.0888190350e+00
 38	  1068	1.4089461307e-15	3.1181259421e-15	1.0809429690e+00	   780	1.1850956410e-15	2.3385944566e-15	1.0888988419e+00
 40	  1180	1.4281054307e-15	3.1181582710e-15	1.0838125748e+00	   861	1.1786409311e-15	3.1181582710e-15	1.0857140290e+00
 42	  1296	1.5534315338e-15	3.5575711601e-15	1.0823530316e+00	   946	1.3320743975e-15	3.7905753560e-15	1.0879472368e+00
 44	  1416	1.6191449680e-15	3.3363819860e-15	1.0803721587e+00	  1035	1.3364199772e-15	3.1139565203e-15	1.0874955317e+00
 46	  1540	1.6505155020e-15	3.7766198637e-15	1.0799966677e+00	  1128	1.4073637316e-15	3.5548163765e-15	1.0877288514e+00
 48	  1692	1.7181250042e-15	3.7806426471e-15	1.0811057749e+00	  1225	1.5242429559e-15	3.2246657872e-15	1.0879089218e+00
 50	  1812	1.8590797627e-15	4.3369415181e-15	1.0810925548e+00	  1326	1.5183152690e-15	3.8921270034e-15	1.0885501551e+00
