ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	6.1804855640e-04	3.5251640711e-04	2.6117668676e+00	     6	1.9691146195e-02	1.1363654467e-02	2.7455984346e+00
  4	    24	1.0185265902e-06	5.3834912952e-07	2.6826871843e+00	    15	1.2643621414e-05	6.7865998865e-06	2.8443296749e+00
  6	    44	2.2640640421e-10	1.1738399715e-10	2.7877250006e+00	    28	1.6605470336e-08	8.8798599897e-09	3.1469899816e+00
  8	    64	1.0834281305e-13	1.0147029823e-13	2.9730636151e+00	    45	8.8258016503e-13	5.2828286423e-13	3.0390228329e+00
 10	    96	1.3216610983e-13	1.3120574304e-13	2.9937380381e+00	    66	1.0929588583e-13	1.1875578255e-13	3.3471271310e+00
 12	   128	1.3001959949e-13	1.3678354002e-13	2.9600816905e+00	    91	1.5049936100e-13	1.3134872993e-13	3.2605438342e+00
 14	   168	1.3278849514e-13	1.4302677663e-13	2.9476284936e+00	   120	1.1982270455e-13	1.3588139229e-13	3.4298037778e+00
 16	   208	1.2327291389e-13	1.4515940735e-13	2.9340000770e+00	   153	1.1632606679e-13	1.2071930305e-13	3.1484479309e+00
 18	   264	1.1874167529e-13	1.2072737732e-13	2.9702217738e+00	   190	1.1402281369e-13	1.2244191891e-13	3.2355914243e+00
 20	   312	1.3644067603e-13	1.6912236096e-13	3.1088057108e+00	   231	1.2795742561e-13	1.5304735584e-13	3.2709784777e+00
 22	   372	1.2178507120e-13	1.4680249822e-13	2.9689659737e+00	   276	1.1454667354e-13	1.4457466478e-13	3.3335151807e+00
 24	   436	1.2174442562e-13	1.3684549636e-13	2.9319759669e+00	   325	1.2046206365e-13	1.3977402806e-13	3.2585352636e+00
 26	   520	1.2817431468e-13	1.5849661957e-13	3.1802673272e+00	   378	1.2014313098e-13	1.5540257875e-13	3.2464765102e+00
 28	   600	1.4028964950e-13	1.5584412186e-13	2.9916582466e+00	   435	1.3552839067e-13	1.5520344715e-13	3.2391819575e+00
 30	   684	1.2667993668e-13	1.5458081373e-13	3.0546722400e+00	   496	1.2099543329e-13	1.5359289124e-13	3.3804670402e+00
