ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.1297290937e-06	7.3381998438e-07	1.1420273089e+00	     6	1.6791781772e-04	1.0387797150e-04	1.1555973720e+00
  4	    24	1.9001182492e-09	1.1533385062e-09	1.1505908887e+00	    15	6.0626513545e-07	3.6863327871e-07	1.1640357248e+00
  6	    44	3.8259044367e-12	2.2878325556e-12	1.1585321238e+00	    28	6.1438184984e-10	3.7400832006e-10	1.1812699076e+00
  8	    64	2.6914445388e-15	2.1047928912e-15	1.1701353358e+00	    45	5.5884722040e-13	3.4062234577e-13	1.1749898400e+00
 10	    96	4.4821712111e-16	1.0390414444e-15	1.1715633672e+00	    66	2.6589934854e-15	2.0780828887e-15	1.1915478009e+00
 12	   128	4.8666799564e-16	1.0272582429e-15	1.1689971835e+00	    91	4.4267678218e-16	7.9897863333e-16	1.1880827645e+00
 14	   168	5.3209705385e-16	9.0574162036e-16	1.1683954143e+00	   120	4.8076988494e-16	1.0189593229e-15	1.1966114725e+00
 16	   208	5.7055361096e-16	1.2419848690e-15	1.1675471481e+00	   153	5.9015907272e-16	1.1290771536e-15	1.1800690324e+00
 18	   264	6.9331233201e-16	1.3510959766e-15	1.1698460525e+00	   190	6.3762641318e-16	1.1298920551e-15	1.1854839347e+00
 20	   312	7.3925600207e-16	1.3461257660e-15	1.1782503501e+00	   231	6.7143503207e-16	1.4583029132e-15	1.1879634957e+00
 22	   372	7.3618926784e-16	1.4571118186e-15	1.1697517332e+00	   276	7.2228823844e-16	1.6812828676e-15	1.1915202199e+00
 24	   436	8.9601990282e-16	2.4497244773e-15	1.1674314371e+00	   325	7.5996830930e-16	1.5589155765e-15	1.1877479170e+00
 26	   520	9.3314381180e-16	2.1228830728e-15	1.1825063697e+00	   378	8.2445114853e-16	2.0111523847e-15	1.1859398283e+00
 28	   600	9.6776297855e-16	2.4542813314e-15	1.1711131997e+00	   435	8.3818887420e-16	1.7849318774e-15	1.1871127717e+00
 30	   684	1.0795027145e-15	2.3392316180e-15	1.1750319226e+00	   496	9.4332930361e-16	2.1164476544e-15	1.1942968424e+00
