ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.5042813696e+00	1.1258509950e+00	4.5185328586e+04	     6	2.8875408029e-01	2.0636466515e-01	2.8274248881e+02
  4	    24	2.6142501125e-14	1.7670477955e-14	3.7186735684e+04	    15	2.1078497779e-14	1.6518055480e-14	1.1418413538e+04
  6	    44	9.2596765112e-14	5.4615663079e-14	3.8393170384e+04	    28	1.2397267993e-13	8.0954323145e-14	4.2669160982e+04
  8	    64	1.1030122608e-13	6.8986962361e-14	4.3962725189e+04	    43	3.2652265902e-13	2.1036484904e-13	4.4254659784e+04
 10	    96	1.3723259135e-13	8.1598705937e-14	4.6050440329e+04	    66	1.7770425043e-13	1.1350032767e-13	4.3806355921e+04
 12	   128	6.9571005070e-14	4.1977455268e-14	4.4759780111e+04	    91	1.9321890112e-13	1.1721805864e-13	4.1198668800e+04
 14	   168	1.8221151789e-13	1.0628232549e-13	4.5457627409e+04	   120	5.2949308716e-14	3.5982078885e-14	4.3802851862e+04
 16	   208	1.0610348517e-13	6.6018810001e-14	4.4791772813e+04	   153	1.6874325526e-13	1.0851841894e-13	4.1005918831e+04
 18	   264	3.8341243216e-14	3.5280952423e-14	4.4918536856e+04	   190	3.0353238334e-13	1.8276353842e-13	4.1245839970e+04
 20	   312	9.7237883400e-14	6.4266459329e-14	4.8436897098e+04	   231	1.3714311597e-13	9.9385296159e-14	4.4284602290e+04
 22	   372	5.2871403175e-14	4.2936899688e-14	4.6354358344e+04	   276	5.8433678648e-14	5.7789924019e-14	4.3042072311e+04
 24	   436	5.4859738219e-14	6.0740093013e-14	4.5680698021e+04	   325	3.7365895304e-14	4.9950734386e-14	4.2372049441e+04
 26	   520	4.9062021283e-14	5.3651174682e-14	4.9046961043e+04	   378	1.3096172568e-13	8.6223309733e-14	4.5431105725e+04
 28	   600	1.4285119950e-13	1.0756020529e-13	4.6295649750e+04	   435	2.0774061254e-13	1.4514629933e-13	4.2581750465e+04
 30	   684	1.4995211143e-13	1.3660412841e-13	4.5426838524e+04	   496	3.4240432861e-13	2.0012703944e-13	4.2128251133e+04
