ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	1.1781133222e-02	7.0805330335e-03	3.7677520456e+00	     6	1.0224100809e+00	8.0809990433e-01	4.2048250736e+00
  4	   312	4.8127013706e-05	2.6892196763e-05	4.1065210678e+00	    15	1.2060764002e-02	7.6026936347e-03	5.2664718446e+00
  6	   572	4.0223095316e-08	2.1510567010e-08	4.3032700443e+00	    28	6.3523825996e-05	3.7535369329e-05	4.4125141526e+00
  8	   832	4.7976625141e-10	2.5275561493e-10	4.6438946388e+00	    45	2.3344513877e-07	1.4751215258e-07	4.9625962326e+00
 10	  1248	4.7509303677e-10	2.4944924205e-10	4.6942643618e+00	    66	1.8160073253e-10	1.0622990645e-10	5.2283188086e+00
 12	  1664	4.7391148448e-10	2.4635816555e-10	4.6029385441e+00	    91	4.0083547244e-10	2.4820253877e-10	6.3574701567e+00
 14	  2184	4.7356171667e-10	2.4588058061e-10	4.6082504714e+00	   120	3.9504523766e-10	2.4588277582e-10	6.0819249413e+00
 16	  2704	4.7366202187e-10	2.4610599372e-10	4.5840623574e+00	   153	3.9939269989e-10	2.4610615072e-10	6.0586716669e+00
 18	  3432	4.7391950465e-10	2.4648403707e-10	4.6475695993e+00	   190	4.0527381739e-10	2.4648639731e-10	5.6764440657e+00
 20	  4056	4.7157113569e-10	2.4568212006e-10	4.9155645304e+00	   231	3.9566332408e-10	2.4568024063e-10	5.9644379275e+00
 22	  4836	4.7413846283e-10	2.4533296031e-10	4.6568628638e+00	   276	3.9960029095e-10	2.4533999404e-10	6.6472325423e+00
 24	  5668	4.7417244672e-10	2.4359393236e-10	4.5867418433e+00	   325	4.0659080864e-10	2.4614935879e-10	6.0456114635e+00
 26	  6760	4.7041460384e-10	2.4459313346e-10	5.0449966657e+00	   378	4.0078997614e-10	2.4459593488e-10	6.1186657984e+00
 28	  7800	4.7277625969e-10	2.4420773968e-10	4.6943980757e+00	   435	3.9259849146e-10	2.4396083760e-10	6.6301914471e+00
 30	  8892	4.7250510268e-10	2.4377497454e-10	4.7982085462e+00	   496	3.9437557567e-10	2.4377032808e-10	6.2305140205e+00
