ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.5042813696e-01	1.1258509950e-01	4.5383108262e+02	     6	3.1106515329e-01	2.2230978046e-01	2.8639824530e+01
  4	    24	6.3747206859e-15	4.6096899014e-15	3.7384468220e+02	    15	9.1601365893e-15	7.5547695606e-15	2.8501872676e+02
  6	    44	2.9050129816e-15	1.9383429485e-15	3.8590236589e+02	    28	5.8754284737e-16	6.2711095394e-16	4.0086074749e+02
  8	    64	7.5083485930e-15	4.6520813434e-15	4.4160498765e+02	    43	2.0054060959e-15	2.0140108255e-15	4.4448647919e+02
 10	    96	1.2911164130e-15	1.2478525509e-15	4.6248224128e+02	    66	3.1722025308e-15	3.9063210289e-15	4.4004049652e+02
 12	   128	4.5880158298e-15	4.5696976621e-15	4.4957557701e+02	    91	2.9747893821e-15	3.2412971790e-15	4.1396427336e+02
 14	   168	6.1982556887e-15	5.3037168299e-15	4.5655408398e+02	   120	2.6746660181e-14	1.6223133833e-14	4.4000624616e+02
 16	   208	2.6624155603e-15	2.9914773282e-15	4.4989550562e+02	   153	5.4486958502e-15	4.7451019688e-15	4.1203676158e+02
 18	   264	6.3764336407e-15	6.3587763088e-15	4.5116315229e+02	   190	2.5102485245e-14	1.6204623497e-14	4.1443598702e+02
 20	   312	6.2418320708e-15	7.2869056247e-15	4.8634691504e+02	   231	1.6175552016e-14	1.4776225294e-14	4.4482377504e+02
 22	   372	3.0046580965e-15	4.1568190961e-15	4.6552143553e+02	   276	3.5045981574e-15	6.0831498967e-15	4.3239841066e+02
 24	   436	3.5283064735e-15	6.2188664311e-15	4.5878480076e+02	   325	8.9797576385e-15	8.0920189705e-15	4.2569814556e+02
 26	   520	4.8956982034e-15	7.6286048192e-15	4.9244757996e+02	   378	5.6536067742e-15	8.2308630944e-15	4.5628886587e+02
 28	   600	3.4528334832e-15	6.8974481087e-15	4.6493434688e+02	   435	1.1104429956e-14	1.0296190655e-14	4.2779516731e+02
 30	   684	3.6090478696e-15	9.5583063611e-15	4.5624619366e+02	   496	5.4237738832e-14	3.7038437149e-14	4.2326014896e+02
