ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	5.2332820408e-05	3.1452344748e-05	1.0095486768e+00	     6	4.0456462240e-03	3.1976272415e-03	1.0098797644e+00
  4	   312	2.1426722873e-07	1.1972727994e-07	1.0102811530e+00	    15	5.3600164376e-05	3.3787712658e-05	1.0124708460e+00
  6	   572	1.7907924486e-10	9.5768188257e-11	1.0106816118e+00	    28	2.8282029095e-07	1.6711468345e-07	1.0108986365e+00
  8	   832	2.1360636115e-12	1.1293408727e-12	1.0113464351e+00	    45	1.0393326206e-09	6.5674647016e-10	1.0119395368e+00
 10	  1248	2.1151821356e-12	1.1092508298e-12	1.0114419358e+00	    66	8.0861766965e-13	4.7375292067e-13	1.0124151175e+00
 12	  1664	2.1098245798e-12	1.0973255963e-12	1.0112682711e+00	    91	1.7844778328e-12	1.1054357065e-12	1.0142784486e+00
 14	  2184	2.1084081425e-12	1.0985442662e-12	1.0112784350e+00	   120	1.7587826682e-12	1.0947810543e-12	1.0138445304e+00
 16	  2704	2.1088590378e-12	1.0947841172e-12	1.0112320893e+00	   153	1.7781875320e-12	1.0957261371e-12	1.0138073499e+00
 18	  3432	2.1099188255e-12	1.1009743580e-12	1.0113534262e+00	   190	1.8043043656e-12	1.0973553198e-12	1.0131827582e+00
 20	  4056	2.0995270371e-12	1.0922588300e-12	1.0118536298e+00	   231	1.7615752007e-12	1.0935117796e-12	1.0136557449e+00
 22	  4836	2.1108983350e-12	1.0933544881e-12	1.0113710887e+00	   276	1.7791559253e-12	1.0939797087e-12	1.0147222318e+00
 24	  5668	2.1111520669e-12	1.0804453537e-12	1.0112372314e+00	   325	1.8102452170e-12	1.0961741429e-12	1.0137864279e+00
 26	  6760	2.0943577936e-12	1.0939527072e-12	1.0120887628e+00	   378	1.7843033145e-12	1.0888167790e-12	1.0139030941e+00
 28	  7800	2.1049197821e-12	1.0899406828e-12	1.0114421884e+00	   435	1.7477938063e-12	1.0852821530e-12	1.0146964700e+00
 30	  8892	2.1036421060e-12	1.0903692776e-12	1.0116368759e+00	   496	1.7558205360e-12	1.0852581716e-12	1.0140800233e+00
