ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.8852185283e-04	2.5003278066e-04	1.0350041554e+00	     6	3.6543668520e-03	4.1830869118e-03	1.0261594214e+00
  4	   114	1.9642334733e-05	2.5918615031e-05	1.0364329971e+00	    15	1.7225244694e-04	2.1559571459e-04	1.0237629375e+00
  6	   209	4.7619017127e-07	5.9065055962e-07	1.0377173972e+00	    28	2.6041330118e-05	2.3678451128e-05	1.0247345081e+00
  8	   304	1.7188527043e-07	1.9115410539e-07	1.0399748689e+00	    45	1.3761391346e-07	1.7916699816e-07	1.0254299326e+00
 10	   456	3.3609147740e-08	3.8073400753e-08	1.0402725820e+00	    66	3.0346033296e-07	3.8891152583e-07	1.0251129019e+00
 12	   608	5.5346224811e-09	5.0558444308e-09	1.0398588112e+00	    91	3.7448984543e-08	4.7279243141e-08	1.0251059976e+00
 14	   798	6.4331353114e-09	7.7855727237e-09	1.0397351702e+00	   120	2.0865642449e-08	1.7254109561e-08	1.0243427756e+00
 16	   988	1.8713058032e-09	2.1590886835e-09	1.0395780229e+00	   153	3.7294475089e-09	4.7353034142e-09	1.0251418264e+00
 18	  1254	5.7211244046e-10	7.5107098016e-10	1.0399743651e+00	   190	4.2496648197e-09	5.1407185871e-09	1.0255446896e+00
 20	  1482	1.1549682384e-10	1.5071097301e-10	1.0415391322e+00	   231	8.5937263708e-10	1.0337223049e-09	1.0249130923e+00
 22	  1767	2.0518718336e-10	2.4866454883e-10	1.0399729833e+00	   276	6.4285069799e-10	6.9062089529e-10	1.0260629227e+00
 24	  2071	7.4385408137e-11	9.9407783460e-11	1.0395573890e+00	   325	2.4788626348e-10	3.0389257909e-10	1.0249540551e+00
 26	  2470	4.3221356381e-11	5.5344725078e-11	1.0423219011e+00	   378	1.7701554003e-10	1.9852696671e-10	1.0251253565e+00
 28	  2850	6.0809248466e-11	7.6027478599e-11	1.0402349387e+00	   435	1.7842541931e-11	1.3267801354e-11	1.0249604603e+00
 30	  3249	7.9154888577e-11	9.4765479399e-11	1.0409140385e+00	   496	8.8258614328e-11	1.0734374065e-10	1.0254463446e+00
