ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	4.3908812149e-05	2.8521141950e-05	4.6500109310e+00	     6	6.5068913762e-03	4.0253183737e-03	5.9504251545e+00
  4	    24	7.3845415323e-08	4.4822864134e-08	5.4772613451e+00	    15	2.3561714716e-05	1.4326458249e-05	6.8374388172e+00
  6	    44	1.4868869290e-10	8.8910351324e-11	6.2713566096e+00	    28	2.3877083384e-08	1.4535315307e-08	8.6954840001e+00
  8	    64	1.0013832540e-13	5.9401932706e-14	7.4801298340e+00	    45	2.1720913000e-11	1.3251578349e-11	8.0033030038e+00
 10	    96	6.9680220757e-16	8.0814334562e-16	7.6329550784e+00	    66	1.0139474558e-13	6.0610750921e-14	9.8656519094e+00
 12	   128	1.2860089620e-15	1.4838174619e-15	7.3589674200e+00	    91	9.8612412744e-16	1.1413980476e-15	9.4659800334e+00
 14	   168	3.2020035099e-15	2.5473983073e-15	7.2951352331e+00	   120	1.2222506697e-15	2.4907894560e-15	1.0459122235e+01
 16	   208	1.3155685062e-15	2.7097851687e-15	7.2054252207e+00	   153	1.0730456370e-15	2.5968774533e-15	8.5617833535e+00
 18	   264	1.2789373596e-15	4.9540185807e-15	7.4492802522e+00	   190	1.1570224367e-15	2.3727733158e-15	9.1696655062e+00
 20	   312	5.8654555767e-15	6.6184516829e-15	8.3605068063e+00	   231	2.6374355165e-15	6.8428059772e-15	9.4523164612e+00
 22	   372	3.4000828648e-15	4.9317630784e-15	7.4392298450e+00	   276	9.0885437034e-15	7.1734735686e-15	9.8624499110e+00
 24	   436	5.9448191039e-15	1.5811857990e-14	7.1932123765e+00	   325	2.3198663035e-15	4.1199911663e-15	9.4276353054e+00
 26	   520	5.1549930515e-14	4.7932465169e-14	8.8338076705e+00	   378	1.9239481314e-15	1.0614415364e-14	9.2214318334e+00
 28	   600	3.9125216006e-15	2.2200090225e-14	7.5846823947e+00	   435	1.8359068241e-14	2.1586519892e-14	9.3550370588e+00
 30	   684	9.2300271351e-15	1.0805022236e-14	8.0078835483e+00	   496	2.7831768076e-15	3.1189754907e-15	1.0186461537e+01
