ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	9.2023877528e-03	5.3815921466e-03	1.0381627314e+00	     6	1.2246406899e-02	7.0298649926e-03	1.0449372071e+00
  4	    24	6.6983312856e-03	3.3691196160e-03	1.0380495340e+00	    15	3.7529181664e-03	2.3265507978e-03	1.0478024184e+00
  6	    44	9.5102490461e-03	4.6127032167e-03	1.0402970389e+00	    28	8.1186224251e-03	4.5281250272e-03	1.0528112362e+00
  8	    64	6.6690144179e-03	3.2479959902e-03	1.0407061411e+00	    45	6.3201314067e-03	3.3935463519e-03	1.0512835386e+00
 10	    96	9.6872300236e-03	4.6003831263e-03	1.0436086391e+00	    66	8.4296031593e-03	4.4776724540e-03	1.0506308565e+00
 12	   128	9.5718628226e-03	4.5174770116e-03	1.0429100626e+00	    91	8.6312904247e-03	4.5825317732e-03	1.0517430296e+00
 14	   168	8.7524758927e-03	4.1142828631e-03	1.0423994897e+00	   120	7.7889340048e-03	4.0887593734e-03	1.0526960659e+00
 16	   208	9.2183102130e-03	4.3162437140e-03	1.0425602589e+00	   153	8.3036806459e-03	4.2891403299e-03	1.0490389961e+00
 18	   264	9.6528665049e-03	4.4956527345e-03	1.0432715201e+00	   190	8.6821283783e-03	4.5126867701e-03	1.0500562403e+00
 20	   312	9.7604191187e-03	4.5469911645e-03	1.0453922324e+00	   231	8.8232969398e-03	4.5250659463e-03	1.0529335533e+00
 22	   372	9.6885324975e-03	4.4870533457e-03	1.0432856419e+00	   276	8.7820561083e-03	4.5039476398e-03	1.0514997268e+00
 24	   436	9.5842864544e-03	4.4054636595e-03	1.0427127490e+00	   325	8.6982831777e-03	4.4032298714e-03	1.0509740053e+00
 26	   520	8.8763977189e-03	4.1320013728e-03	1.0454180038e+00	   378	7.9761009614e-03	4.1186405572e-03	1.0551987052e+00
 28	   600	9.1756786745e-03	4.2386689304e-03	1.0432913016e+00	   435	8.3064379985e-03	4.2706556252e-03	1.0526783692e+00
 30	   684	9.2993869003e-03	4.2931887743e-03	1.0439652727e+00	   496	8.2758788260e-03	4.2365621117e-03	1.0543274214e+00
