ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	9.0970731645e-05	6.7931511434e-05	1.0259699912e+00	     6	1.4372614558e-03	1.1693503176e-03	1.0191120353e+00
  4	   114	6.4044219412e-16	2.3175099799e-15	1.0249179524e+00	    15	1.4682410294e-16	1.1587549900e-16	1.0219467462e+00
  6	   209	7.1834779507e-16	1.8292682507e-15	1.0257195803e+00	    28	2.3724843322e-16	3.4547026403e-16	1.0228891627e+00
  8	   304	8.7435783597e-16	2.6218766680e-15	1.0276308977e+00	    45	4.0384632707e-16	7.9796246418e-16	1.0223443261e+00
 10	   456	9.8269044267e-16	2.3899547063e-15	1.0279732122e+00	    66	4.9602167209e-16	1.0242663027e-15	1.0240999258e+00
 12	   608	1.2036984552e-15	3.0727989081e-15	1.0277209634e+00	    91	4.9014640724e-16	1.0242663027e-15	1.0251358889e+00
 14	   798	1.3063630681e-15	3.7565758329e-15	1.0277309700e+00	   120	4.3332955178e-16	7.9684941909e-16	1.0233646087e+00
 16	   988	1.7214423768e-15	6.4918761098e-15	1.0275017866e+00	   153	6.4801802549e-16	1.5961781674e-15	1.0258150055e+00
 18	  1254	1.7179497404e-15	4.7814982044e-15	1.0277901223e+00	   190	6.4925470528e-16	1.7094445272e-15	1.0254946537e+00
 20	  1482	1.9206658637e-15	6.2615805578e-15	1.0288824707e+00	   231	7.2260991406e-16	2.1630914654e-15	1.0252571378e+00
 22	  1767	2.0089688233e-15	6.4883766936e-15	1.0280656943e+00	   276	7.8478239189e-16	1.7078072262e-15	1.0264557217e+00
 24	  2071	2.1752750684e-15	7.6278885389e-15	1.0278037196e+00	   325	8.6611969250e-16	1.9354344054e-15	1.0249785486e+00
 26	  2470	2.5429681085e-15	7.8534217143e-15	1.0291604990e+00	   378	1.0034304151e-15	2.6178072381e-15	1.0249421384e+00
 28	  2850	2.6846533599e-15	8.9928950057e-15	1.0280934820e+00	   435	1.0574277308e-15	2.9603485777e-15	1.0252593900e+00
 30	  3249	2.8740121574e-15	1.0357552588e-14	1.0282917172e+00	   496	1.1678033489e-15	2.9595948492e-15	1.0257277294e+00
