ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	3.1623700325e-07	2.1286086705e-07	1.0072180480e+00	     6	2.8347279281e-03	2.4370456918e-03	1.0070380921e+00
  4	   312	9.4579161604e-16	1.5936207170e-15	1.0074070314e+00	    15	4.7221765792e-16	7.0827587423e-16	1.0057857364e+00
  6	   572	1.1431665394e-15	2.3059089809e-15	1.0074993161e+00	    28	2.5315374272e-16	3.3768188696e-16	1.0049211565e+00
  8	   832	1.5825139250e-15	5.4830200875e-15	1.0079093318e+00	    45	2.0053321852e-16	2.4189794504e-16	1.0053102298e+00
 10	  1248	1.6697277360e-15	5.4414266647e-15	1.0080303513e+00	    66	4.1466431481e-16	4.8992029025e-16	1.0051941254e+00
 12	  1664	1.8684275693e-15	4.2452774181e-15	1.0079163509e+00	    91	6.0236386057e-16	1.1138692883e-15	1.0063223504e+00
 14	  2184	2.3111517147e-15	4.8608153370e-15	1.0079725386e+00	   120	5.7074958286e-16	9.4080296846e-16	1.0061361270e+00
 16	  2704	2.4667911940e-15	5.4951160336e-15	1.0079368203e+00	   153	6.9523149848e-16	2.0410430982e-15	1.0060763515e+00
 18	  3432	2.8657759040e-15	7.5527753583e-15	1.0079709922e+00	   190	6.7704439244e-16	1.7308443529e-15	1.0059550415e+00
 20	  4056	3.2506353486e-15	7.2044603067e-15	1.0082864133e+00	   231	8.3117657487e-16	2.0360431302e-15	1.0062303990e+00
 22	  4836	3.4763016522e-15	8.4404778210e-15	1.0080403952e+00	   276	7.3354070356e-16	1.7193565932e-15	1.0064054165e+00
 24	  5668	3.7791413910e-15	1.1604382289e-14	1.0079793686e+00	   325	9.0033100119e-16	2.1986300861e-15	1.0062716341e+00
 26	  6760	4.2843756414e-15	1.3540174353e-14	1.0084035426e+00	   378	1.0165768589e-15	3.2683179472e-15	1.0061422975e+00
 28	  7800	4.6844363996e-15	1.5839001231e-14	1.0080567149e+00	   435	9.1087963882e-16	2.3292648869e-15	1.0064030704e+00
 30	  8892	4.7529122087e-15	1.5178435967e-14	1.0080483808e+00	   496	1.1176504838e-15	3.0976399932e-15	1.0061107450e+00
