ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	6.1570524804e-04	6.1266045854e-04	1.7037804394e+04	     6	1.7609197442e-01	1.5792028266e-01	2.1937784866e+04
  4	    24	2.6074458217e-05	2.4595888493e-05	1.9138924134e+04	    15	1.8438427300e-04	1.9233153328e-04	3.3949861498e+04
  6	    44	1.7556892177e-07	1.5604632781e-07	2.1277234278e+04	    28	1.6363401757e-04	1.5971787908e-04	3.2356792701e+04
  8	    64	1.6977712245e-10	1.5722015257e-10	2.4219686969e+04	    43	3.6108495473e-07	3.5608162704e-07	3.7002486608e+04
 10	    96	1.2293923377e-12	1.2252826961e-12	2.5079820110e+04	    66	4.1364202429e-09	4.1608278268e-09	3.0112299202e+04
 12	   128	1.3465571342e-12	1.5911049627e-12	2.4433692998e+04	    91	4.3370510835e-12	5.4324140719e-12	3.2618133285e+04
 14	   168	1.3208777159e-12	2.1722360224e-12	2.4185921834e+04	   120	1.2424688270e-12	2.1566368553e-12	3.5267460240e+04
 16	   208	1.3389832036e-12	1.5168853142e-12	2.3944521524e+04	   153	1.3568581340e-12	1.5208051810e-12	3.0335528191e+04
 18	   264	1.4033340746e-12	3.1356972075e-12	2.4466707366e+04	   190	1.4057270289e-12	3.1648245054e-12	3.0545638621e+04
 20	   312	1.4210559908e-12	2.3803891707e-12	2.7022304036e+04	   231	1.2620311913e-12	1.7696047895e-12	3.3998630496e+04
 22	   372	1.4266936414e-12	2.6032839983e-12	2.4476779269e+04	   276	1.2107053986e-12	1.9174088474e-12	3.2522437559e+04
 24	   436	1.2347931165e-12	1.8923336215e-12	2.3888432435e+04	   325	1.1954748874e-12	2.0149127237e-12	3.1566635796e+04
 26	   520	1.1753145087e-12	2.1667245214e-12	2.8322181861e+04	   378	1.1046868985e-12	2.6993215894e-12	3.7321619926e+04
 28	   600	1.2735156785e-12	2.1577017018e-12	2.4981232197e+04	   435	1.2155152697e-12	2.3077461889e-12	3.3453694362e+04
 30	   684	1.4613743649e-12	3.2570177840e-12	2.5956549699e+04	   496	1.3108500463e-12	2.6395611496e-12	3.6582355880e+04
