ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	8.1534053781e-06	5.2960765943e-06	1.2546906366e+02	     6	1.2111365521e-03	7.4923799007e-04	1.4910367391e+02
  4	    24	1.3713181851e-08	8.3236649944e-09	1.4023691002e+02	    15	4.3754275672e-06	2.6604337202e-06	1.6482175456e+02
  6	    44	2.7612359161e-11	1.6509337678e-11	1.5455471304e+02	    28	4.4340002981e-09	2.6992211534e-09	1.9874698245e+02
  8	    64	2.1500221852e-14	2.1515660665e-14	1.7652407413e+02	    45	4.0344521677e-12	2.4649680151e-12	1.8607746707e+02
 10	    96	8.9216126661e-15	1.3738436875e-14	1.7931243940e+02	    66	1.9220090037e-14	2.0780828887e-14	2.2022433584e+02
 12	   128	9.3982718629e-15	1.4039195986e-14	1.7431487669e+02	    91	9.5603485364e-15	1.9403766809e-14	2.1288169898e+02
 14	   168	1.4025743863e-14	5.0042224525e-14	1.7315154706e+02	   120	1.1772836027e-14	3.7192015286e-14	2.3113855997e+02
 16	   208	1.4658014661e-14	7.0906045247e-14	1.7151725931e+02	   153	4.4545747594e-14	1.6247420241e-13	1.9629744151e+02
 18	   264	9.4710451022e-14	3.5300197171e-13	1.7596145671e+02	   190	5.6307812281e-14	1.6071302119e-13	2.0744237363e+02
 20	   312	1.3773237980e-13	4.4840010152e-13	1.9261183135e+02	   231	1.0221847851e-13	3.4009306593e-13	2.1263079506e+02
 22	   372	1.9590852644e-13	6.5570031838e-13	1.7577818140e+02	   276	2.0945875840e-14	6.2683829582e-14	2.2016548425e+02
 24	   436	1.2313186700e-13	4.0075265426e-13	1.7129483348e+02	   325	1.4969844302e-14	1.0494842363e-13	2.1217759626e+02
 26	   520	1.2652769500e-14	1.1273626423e-13	2.0128230199e+02	   378	1.4341337522e-14	7.9440519197e-14	2.0839233381e+02
 28	   600	2.4434160078e-14	2.0638274832e-13	1.7843146646e+02	   435	1.6364148579e-14	8.5174718024e-14	2.1084469430e+02
 30	   684	3.2010088658e-14	1.6736645267e-13	1.8616120355e+02	   496	2.0973511649e-14	1.3723492159e-13	2.2612264683e+02
