ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	9.1605932224e-04	6.8405841305e-04	1.2925036716e+00	     6	1.4159609278e-02	1.1520202911e-02	1.2063946424e+00
  4	   114	4.8792246014e-16	8.1112849298e-16	1.2791181790e+00	    15	2.6941541211e-16	3.4762649699e-16	1.2427239407e+00
  6	   209	5.8992487180e-16	1.0289633910e-15	1.2891149084e+00	    28	2.7945802498e-16	3.4547026403e-16	1.2541500553e+00
  8	   304	7.3198554772e-16	2.0519034793e-15	1.3131958906e+00	    45	3.5698552376e-16	4.5597855096e-16	1.2474927967e+00
 10	   456	9.6981222313e-16	2.3899547063e-15	1.3175481345e+00	    66	3.1258457134e-16	4.5522946787e-16	1.2689985786e+00
 12	   608	1.1107980240e-15	2.8451841742e-15	1.3143398402e+00	    91	4.3726639899e-16	7.9665156877e-16	1.2818346692e+00
 14	   798	1.2423804220e-15	3.4150689390e-15	1.3144669879e+00	   120	4.9690712756e-16	7.9684941909e-16	1.2599533565e+00
 16	   988	1.3324693589e-15	3.5306694632e-15	1.3115574606e+00	   153	5.2402951506e-16	7.9808908368e-16	1.2903082022e+00
 18	  1254	1.6223555121e-15	4.4399626184e-15	1.3152188093e+00	   190	7.3235800250e-16	1.3675556218e-15	1.2863052542e+00
 20	  1482	1.7151334755e-15	4.2123360116e-15	1.3291668464e+00	   231	6.3008646104e-16	1.7077037885e-15	1.2833440985e+00
 22	  1767	1.8229774939e-15	5.6915585032e-15	1.3187260235e+00	   276	7.6639804162e-16	1.7078072262e-15	1.2983455235e+00
 24	  2071	1.9954979069e-15	6.0340013816e-15	1.3153916803e+00	   325	7.9277693992e-16	1.8215853227e-15	1.2798781569e+00
 26	  2470	2.2756182072e-15	8.4225102443e-15	1.3327364808e+00	   378	8.5854775973e-16	1.7072655901e-15	1.2794257559e+00
 28	  2850	2.3693656656e-15	8.6513926637e-15	1.3190801097e+00	   435	1.0045241083e-15	2.2771912136e-15	1.2833721498e+00
 30	  3249	2.4791498026e-15	9.5608177731e-15	1.3216084259e+00	   496	1.0049702284e-15	2.0489502802e-15	1.2892166141e+00
