ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	5.4490398345e-05	4.5029018588e-05	1.0152787205e+00	     6	2.9688151510e-03	2.1146809021e-03	1.0110700115e+00
  4	    24	1.4419241123e-05	1.1388959325e-05	1.0162694606e+00	    15	1.3101745374e-04	1.2107588847e-04	1.0171446491e+00
  6	    44	5.5906016839e-06	4.2299346083e-06	1.0170789712e+00	    28	2.6745154357e-05	2.2657887019e-05	1.0156028903e+00
  8	    64	2.0250152379e-06	1.5683283008e-06	1.0182028837e+00	    45	3.3097004341e-06	2.7649421220e-06	1.0185410205e+00
 10	    96	1.0670006845e-06	8.2029582042e-07	1.0184630103e+00	    66	3.0930669106e-06	2.6479703752e-06	1.0165802492e+00
 12	   128	4.6006441216e-07	3.5141552280e-07	1.0182870436e+00	    91	4.7308891606e-06	3.9933818006e-06	1.0166894818e+00
 14	   168	1.6681662833e-07	1.2751510424e-07	1.0180567776e+00	   120	1.2886506730e-06	1.0810899858e-06	1.0173438780e+00
 16	   208	3.8402844472e-08	2.9300395156e-08	1.0179723904e+00	   153	5.3692551982e-07	4.4709854570e-07	1.0165476122e+00
 18	   264	1.6646292377e-07	1.2677744343e-07	1.0181968830e+00	   190	1.1631041419e-07	9.7959091169e-08	1.0162996721e+00
 20	   312	1.3672168121e-08	1.0438147896e-08	1.0190475001e+00	   231	2.8756728419e-07	2.3806811189e-07	1.0174411931e+00
 22	   372	1.9279850652e-07	1.4640845244e-07	1.0181892639e+00	   276	2.5976023070e-07	2.1503166710e-07	1.0169411019e+00
 24	   436	5.2954319131e-08	4.0087025856e-08	1.0179620971e+00	   325	2.6438505613e-07	2.1828466763e-07	1.0165784841e+00
 26	   520	4.5674120889e-09	3.4903270696e-09	1.0194780899e+00	   378	3.3897485179e-08	2.8455616738e-08	1.0178973021e+00
 28	   600	4.9716992418e-08	3.7761298184e-08	1.0183311730e+00	   435	1.0074999735e-07	8.4088959733e-08	1.0165105137e+00
 30	   684	2.7424668174e-08	2.0825352757e-08	1.0187089703e+00	   496	9.3841972226e-08	7.8030064961e-08	1.0172050890e+00
