ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	1.5059932121e-02	1.3118636047e-02	3.7677520456e+00	     6	5.9728868202e-01	5.4278624892e-01	4.2048250736e+00
  4	   312	1.7889329118e-03	1.5200530723e-03	4.1065210678e+00	    15	5.6420912265e-02	4.7594128763e-02	5.2664718446e+00
  6	   572	4.9794941293e-04	4.1759128140e-04	4.3032700443e+00	    28	1.9944529659e-02	1.6273934499e-02	4.4125141526e+00
  8	   832	3.3393597251e-04	2.7853603855e-04	4.6438946388e+00	    45	7.7282724012e-04	6.5567242462e-04	4.9625962326e+00
 10	  1248	5.7374755477e-05	4.7798781378e-05	4.6942643618e+00	    66	1.0447202343e-03	8.4958328879e-04	5.2283188086e+00
 12	  1664	3.8330939690e-05	3.1841575586e-05	4.6029385441e+00	    91	1.7321802858e-04	1.4558095835e-04	6.3574701567e+00
 14	  2184	6.8346675048e-05	5.6739182421e-05	4.6082504714e+00	   120	2.7109073775e-04	2.2994851450e-04	6.0819249413e+00
 16	  2704	4.1637097705e-05	3.4573622900e-05	4.5840623574e+00	   153	1.4421744198e-04	1.2256726507e-04	6.0586716669e+00
 18	  3432	5.7539663213e-06	4.7794268422e-06	4.6475695993e+00	   190	2.8885892225e-05	2.4276902971e-05	5.6764440657e+00
 20	  4056	7.0219948940e-06	5.8327259483e-06	4.9155645304e+00	   231	1.0474892537e-04	8.9158456366e-05	5.9644379275e+00
 22	  4836	3.7066383102e-06	3.0743945480e-06	4.6568628638e+00	   276	1.6252207865e-04	1.3663879042e-04	6.6472325423e+00
 24	  5668	3.0646510147e-06	2.5366573292e-06	4.5867418433e+00	   325	3.2985117025e-06	2.7542144959e-06	6.0456114635e+00
 26	  6760	4.9996467621e-06	4.1496229880e-06	5.0449966657e+00	   378	3.0854651896e-06	2.5960354157e-06	6.1186657984e+00
 28	  7800	3.2275713709e-06	2.6750082963e-06	4.6943980757e+00	   435	1.1737078596e-08	9.9639110214e-09	6.6301914471e+00
