ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.0035533517e-07	6.5186203235e-08	1.0126048211e+00	     6	1.4915340235e-05	9.2269856104e-06	1.0137350233e+00
  4	    24	1.6878977831e-10	1.0245278982e-10	1.0133196911e+00	    15	5.3855243074e-08	3.2746126515e-08	1.0144327676e+00
  6	    44	3.3978233021e-13	2.0341285627e-13	1.0139784910e+00	    28	5.4576265225e-11	3.3224218189e-11	1.0158433566e+00
  8	    64	4.6756002383e-16	9.3546350718e-16	1.0149340662e+00	    45	4.9599169026e-14	3.0450646296e-14	1.0153314197e+00
 10	    96	5.3284855611e-16	1.3853885925e-15	1.0150511022e+00	    66	5.7181225948e-16	1.3853885925e-15	1.0166761362e+00
 12	   128	5.5299786038e-16	1.1413980476e-15	1.0148406989e+00	    91	4.7283477270e-16	9.1311843809e-16	1.0163960722e+00
 14	   168	6.8781455750e-16	1.5850478356e-15	1.0147913015e+00	   120	4.9177557732e-16	1.1321770255e-15	1.0170841510e+00
 16	   208	6.9343824356e-16	1.6936157304e-15	1.0147216324e+00	   153	5.8883124154e-16	1.5807080151e-15	1.0157456463e+00
 18	   264	7.4514625687e-16	2.2518266276e-15	1.0149103426e+00	   190	6.9172185160e-16	1.4688596717e-15	1.0161855572e+00
 20	   312	8.4870278897e-16	1.9070115018e-15	1.0155975037e+00	   231	7.9610956765e-16	2.3557200905e-15	1.0163864197e+00
 22	   372	9.3531033768e-16	2.6900525882e-15	1.0149026065e+00	   276	7.4325164627e-16	2.1296249657e-15	1.0166739097e+00
 24	   436	9.7036913616e-16	2.3383733647e-15	1.0147121255e+00	   325	8.8881438219e-16	3.1178311529e-15	1.0163689706e+00
 26	   520	1.1203927651e-15	2.9049978891e-15	1.0159438728e+00	   378	9.0530040396e-16	2.5698058249e-15	1.0162225151e+00
 28	   600	1.1575597335e-15	3.4583055124e-15	1.0150142216e+00	   435	9.8386061174e-16	2.0080483621e-15	1.0163175457e+00
 30	   684	1.3082962654e-15	3.7873273815e-15	1.0153348581e+00	   496	1.0660252110e-15	2.6734075634e-15	1.0168978303e+00
