ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	5.6996799516e-01	4.5976326347e-01	3.0766965884e+01	     6	7.1372646971e-01	5.0422815818e-01	4.3587517374e+01
  4	    24	5.2379420366e-01	4.9459403671e-01	3.3781686973e+01	    15	3.3717128195e-01	3.3648402624e-01	5.5913223116e+01
  6	    44	7.5891953990e-01	7.9311424617e-01	3.9441996368e+01	    28	7.3257844963e-01	7.6140333767e-01	6.3082318912e+01
  8	    64	4.8644044821e-01	4.9540595698e-01	4.2140013698e+01	    45	5.2906763310e-01	5.3510016150e-01	6.3753061561e+01
 10	    96	8.5118770810e-01	9.0844534289e-01	4.8708237292e+01	    66	7.9963639722e-01	8.5905227920e-01	5.8668271668e+01
 12	   128	8.3395574374e-01	8.9557980169e-01	4.6938206796e+01	    91	8.2679516603e-01	9.0043686281e-01	6.2649777304e+01
 14	   168	7.2145769081e-01	7.5676360812e-01	4.6262443613e+01	   120	7.1077611605e-01	7.5526855706e-01	6.5026397916e+01
 16	   208	7.8628016022e-01	8.4513906276e-01	4.6436796766e+01	   153	7.6462160962e-01	8.2567070485e-01	5.6184965238e+01
 18	   264	8.5431189695e-01	9.3087209707e-01	4.7559195961e+01	   190	8.4194190931e-01	9.3176039494e-01	5.6309021668e+01
 20	   312	9.0059668809e-01	9.7251623777e-01	5.3031791394e+01	   231	8.6544005921e-01	9.3763622261e-01	6.5138896408e+01
 22	   372	8.5454708226e-01	9.4446937633e-01	4.7966174702e+01	   276	8.3764789506e-01	9.3979385917e-01	6.2282587579e+01
 24	   436	8.4000639063e-01	9.3071362648e-01	4.6595167799e+01	   325	8.2945811712e-01	9.3452984311e-01	6.2110767670e+01
 26	   520	7.6645662835e-01	8.0543488638e-01	5.4321207722e+01	   378	7.5613480396e-01	8.0305157202e-01	7.0191945540e+01
 28	   600	7.8587573893e-01	8.5055281661e-01	4.8392121095e+01	   435	7.8919967660e-01	8.6687685211e-01	6.5815736497e+01
 30	   684	8.0840409828e-01	8.7497578286e-01	4.9162362968e+01	   496	7.7785159159e-01	8.5001575165e-01	6.9361864341e+01
