ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	3.1620358312e-04	2.1283837207e-04	5.3702762164e+01	     6	9.1811984173e-01	7.8931737423e-01	1.3859173798e+01
  4	   312	4.6108397277e-15	3.4528448869e-15	5.6443011311e+01	    15	1.4696008390e-15	1.0181465692e-15	3.5518437135e+01
  6	   572	5.3856886050e-15	5.1059413149e-15	5.7803822482e+01	    28	3.3471041743e-15	2.5326141522e-15	2.6060004569e+01
  8	   832	4.9544015820e-15	5.9668159775e-15	6.4051011475e+01	    45	3.6290118207e-15	2.7415100437e-15	3.0016276382e+01
 10	  1248	4.8167976688e-15	6.7217623506e-15	6.5957656429e+01	    66	2.4427827747e-15	2.7762149781e-15	2.8804814206e+01
 12	  1664	5.2999531219e-15	8.8050198301e-15	6.4160815560e+01	    91	1.4821855746e-15	1.3525555644e-15	4.1697002204e+01
 14	  2184	5.0430382708e-15	9.2512291898e-15	6.5043259450e+01	   120	3.8027256259e-15	3.1360098949e-15	3.9397042638e+01
 16	  2704	5.3905232112e-15	8.9491889690e-15	6.4481579229e+01	   153	6.5368786804e-15	5.1811094031e-15	3.8673193794e+01
 18	  3432	5.8074771969e-15	1.2037235727e-14	6.5018891005e+01	   190	3.9760760532e-15	4.2484361390e-15	3.7225725305e+01
 20	  4056	6.0390223062e-15	1.4252301911e-14	7.0086069423e+01	   231	3.9016979034e-15	4.3853236650e-15	4.0552858682e+01
 22	  4836	6.2526091888e-15	1.1879191007e-14	6.6117181216e+01	   276	1.2667477661e-14	9.5346138348e-15	4.2744828928e+01
 24	  5668	6.6577663466e-15	1.4079983844e-14	6.5150947552e+01	   325	1.5381499544e-15	3.4549901354e-15	4.1063894649e+01
 26	  6760	6.2788778629e-15	1.3384540165e-14	7.2017134064e+01	   378	4.0946272631e-15	6.5366358945e-15	3.9472163360e+01
 28	  7800	7.1645344784e-15	2.1118668308e-14	6.6376801758e+01	   435	7.3318300503e-15	7.2983633124e-15	4.2715048108e+01
 30	  8892	7.5091887055e-15	1.5333317966e-14	6.6244154424e+01	   496	6.3880118213e-15	8.8282739806e-15	3.9088825512e+01
