ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	2.5953671281e-06	1.4213627748e-06	1.0064402439e+00	     6	8.6221708828e-05	4.7682471999e-05	1.0067865667e+00
  4	    24	4.2722776988e-09	2.1363192349e-09	1.0066238443e+00	    15	5.3311860324e-08	2.7226669544e-08	1.0069501946e+00
  6	    44	9.4870034592e-13	4.6925581639e-13	1.0068124114e+00	    28	6.9223723969e-11	3.4853279811e-11	1.0076953164e+00
  8	    64	1.1684092393e-15	1.2496342146e-15	1.0072755309e+00	    45	3.8537071293e-15	2.9991221151e-15	1.0074365838e+00
 10	    96	1.0801549141e-15	1.2630394700e-15	1.0073258823e+00	    66	9.2276705499e-16	1.1427499967e-15	1.0081582327e+00
 12	   128	1.3517217410e-15	1.9164068654e-15	1.0072427451e+00	    91	1.2487137976e-15	1.3175297200e-15	1.0079617878e+00
 14	   168	1.1426449370e-15	1.4290768689e-15	1.0072124537e+00	   120	1.1532386742e-15	1.9054358252e-15	1.0083441561e+00
 16	   208	1.2654781111e-15	1.6589646555e-15	1.0071786809e+00	   153	1.1129169618e-15	1.5404671801e-15	1.0077009558e+00
 18	   264	1.1683271196e-15	1.4189309773e-15	1.0072682237e+00	   190	1.0993823041e-15	2.3648849621e-15	1.0079033867e+00
 20	   312	1.3338404088e-15	2.1081734746e-15	1.0076043197e+00	   231	1.2491326805e-15	1.7686520320e-15	1.0079865046e+00
 22	   372	1.2870967102e-15	2.3450878310e-15	1.0072652972e+00	   276	1.2360419906e-15	1.9933246564e-15	1.0081295334e+00
 24	   436	1.4391026333e-15	2.8022968538e-15	1.0071738744e+00	   325	1.2586887999e-15	2.1602502249e-15	1.0079574420e+00
 26	   520	1.5933756429e-15	3.6194439829e-15	1.0077735673e+00	   378	1.4760627980e-15	3.0356626953e-15	1.0079282704e+00
 28	   600	1.7316154209e-15	3.6110756069e-15	1.0073208038e+00	   435	1.5285968395e-15	2.6791851277e-15	1.0079124753e+00
 30	   684	1.6467045996e-15	5.9275349627e-15	1.0074741813e+00	   496	1.3299093124e-15	1.9758449876e-15	1.0082351975e+00
