ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	1.5042813696e+01	1.1258509950e+01	4.5183348610e+06	     6	2.8669774762e-01	2.0489506028e-01	2.8251820048e+03
  4	    24	3.7734494254e-11	2.4505751750e-11	3.7184755712e+06	    15	2.9409335010e-12	2.0493913020e-12	1.6388380244e+05
  6	    44	1.2195354724e-11	7.1297954656e-12	3.8397938597e+06	    28	9.2699843083e-11	5.8582310893e-11	1.4090434000e+07
  8	    64	1.0453752489e-11	6.2454759362e-12	4.3960745225e+06	    43	1.9158958842e-11	1.2198438075e-11	4.4290584575e+06
 10	    96	1.3060269065e-11	7.5038256787e-12	4.6048460329e+06	    66	1.2837511478e-11	7.8964109421e-12	4.3805166357e+06
 12	   128	9.7319989607e-12	5.4851250031e-12	4.4757800133e+06	    91	2.4616794875e-12	1.5148016390e-12	4.1196688036e+06
 14	   168	2.2416475022e-11	1.2579792354e-11	4.5455647429e+06	   120	2.2757133598e-11	1.3516782327e-11	4.3800871889e+06
 16	   208	2.3710238408e-11	1.3253482416e-11	4.4789792837e+06	   153	5.6061828879e-13	3.8816997193e-13	4.1003938855e+06
 18	   264	7.2748531392e-12	4.0429510015e-12	4.4916556878e+06	   190	8.8138496353e-13	5.5793134064e-13	4.1243859994e+06
 20	   312	5.3466915515e-12	2.9926916572e-12	4.8434917118e+06	   231	1.1107651108e-11	6.5175298391e-12	4.4282622313e+06
 22	   372	4.0561948411e-12	2.3160579373e-12	4.6352378365e+06	   276	4.0397130329e-12	2.3535706950e-12	4.3040092335e+06
 24	   436	4.9561825501e-12	2.6929439922e-12	4.5678718043e+06	   325	9.1368030064e-12	5.2166548963e-12	4.2370069464e+06
 26	   520	5.9429075314e-12	3.3164355688e-12	4.9044981059e+06	   378	2.5949793003e-12	1.5463984980e-12	4.5429125747e+06
 28	   600	7.5147128532e-12	4.0926858039e-12	4.6293669772e+06	   435	3.3079091593e-12	1.9032958259e-12	4.2579770488e+06
 30	   684	8.0796442935e-12	4.4081714149e-12	4.5424858546e+06	   496	1.7471390799e-11	1.0257655777e-11	4.2126271157e+06
