ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	3.1623369103e-05	2.1285863787e-05	2.0229307955e+00	     6	4.7648181585e-01	4.0963647517e-01	2.4122456094e+00
  4	   312	1.1591603729e-15	1.8592241699e-15	2.0589143668e+00	    15	2.4910047310e-16	1.7706896856e-16	1.7672221994e+00
  6	   572	1.2862126118e-15	2.9647401183e-15	2.0766713879e+00	    28	4.4800782610e-16	3.3768188696e-16	1.6259757197e+00
  8	   832	1.5423808810e-15	2.4189794504e-15	2.1570756346e+00	    45	4.0548508613e-16	4.8379589007e-16	1.6881214811e+00
 10	  1248	1.6648774687e-15	4.3211329397e-15	2.1812822282e+00	    66	3.9772845219e-16	4.8992029025e-16	1.6693652123e+00
 12	  1664	2.1161314193e-15	4.8742074060e-15	2.1584736753e+00	    91	5.2433548909e-16	7.9562092022e-16	1.8594027469e+00
 14	  2184	2.3577459322e-15	5.3312168213e-15	2.1696912736e+00	   120	7.7685087486e-16	1.4112044527e-15	1.8268270630e+00
 16	  2704	2.7003802992e-15	7.3791558166e-15	2.1625548608e+00	   153	1.0649300477e-15	1.5700331525e-15	1.8164731595e+00
 18	  3432	3.1753975574e-15	9.2836197112e-15	2.1693819240e+00	   190	6.9696428719e-16	1.2587958930e-15	1.7956130123e+00
 20	  4056	3.4064511083e-15	7.6743164137e-15	2.2332193228e+00	   231	8.1724871215e-16	1.8794244278e-15	1.8432573308e+00
 22	  4836	3.7150227852e-15	1.0785054993e-14	2.1833010110e+00	   276	1.6807359366e-15	2.8134926070e-15	1.8740899053e+00
 24	  5668	4.0107434097e-15	1.1604382289e-14	2.1710580553e+00	   325	7.9983288672e-16	1.5704500615e-15	1.8504830240e+00
 26	  6760	4.4614257704e-15	1.4940882045e-14	2.2573038122e+00	   378	1.0055602494e-15	1.8676102556e-15	1.8278987117e+00
 28	  7800	4.8219853007e-15	1.6615422860e-14	2.1865843920e+00	   435	1.3282920828e-15	2.9504021901e-15	1.8736737441e+00
 30	  8892	4.8837656511e-15	1.5178435967e-14	2.1849071475e+00	   496	1.1753566390e-15	2.0134659956e-15	1.8224245088e+00
