ADE	  nodi	           err-2	         err-inf	            cond	nodi_c	         err-2-c	       err-inf-c	          cond-c
  2	    12	2.7301240781e-05	1.4669611425e-05	1.0681278208e+00	     6	9.0360245287e-04	4.9172664911e-04	1.0719186501e+00
  4	    24	4.4940133328e-08	2.1979029488e-08	1.0701332161e+00	    15	5.6042689637e-07	2.8004379343e-07	1.0738090882e+00
  6	    44	9.9803971987e-12	4.8180632300e-12	1.0722754396e+00	    28	7.2843751477e-10	3.5799691314e-10	1.0820025972e+00
  8	    64	1.0378053026e-14	8.7396292885e-15	1.0773777564e+00	    45	3.9627353783e-14	2.7187354382e-14	1.0791504089e+00
 10	    96	9.7653909219e-15	1.0224605233e-14	1.0779322756e+00	    66	9.5852712847e-15	1.0134388128e-14	1.0871220056e+00
 12	   128	1.0966482307e-14	1.1857767480e-14	1.0770182570e+00	    91	1.0790670408e-14	1.0210855330e-14	1.0849453696e+00
 14	   168	1.0673607888e-14	1.2504422603e-14	1.0766844425e+00	   120	1.0335543685e-14	1.2444877733e-14	1.0891834904e+00
 16	   208	1.0333125955e-14	1.2560732391e-14	1.0763131184e+00	   153	9.7941527851e-15	1.0694397154e-14	1.0820620457e+00
 18	   264	9.9751279971e-15	1.1942669059e-14	1.0772977931e+00	   190	9.4797634251e-15	1.2297401803e-14	1.0843003489e+00
 20	   312	1.0698037628e-14	1.4464412451e-14	1.0809990371e+00	   231	1.0227595630e-14	1.2852204766e-14	1.0852179750e+00
 22	   372	1.0471779478e-14	1.2663474288e-14	1.0772653558e+00	   276	9.9707154848e-15	1.3015237462e-14	1.0868014443e+00
 24	   436	1.0566883894e-14	1.3427672425e-14	1.0762599491e+00	   325	1.0272466216e-14	1.3428582479e-14	1.0848969437e+00
 26	   520	1.0960176125e-14	1.4069129030e-14	1.0828667013e+00	   378	1.0579420378e-14	1.4127507159e-14	1.0845758875e+00
 28	   600	1.1085438725e-14	1.3425047216e-14	1.0778763326e+00	   435	1.0634674270e-14	1.3221196174e-14	1.0843998841e+00
 30	   684	1.0540091369e-14	1.5828552309e-14	1.0795648885e+00	   496	1.0140018343e-14	1.5850344716e-14	1.0879730754e+00
