ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	1.4508739012e-02	1.6712728067e-02	6.6933890049e+02	     6	4.5726514106e-01	5.5096700536e-01	3.0972010662e+02
  4	   114	1.8759290743e-03	2.5373009198e-03	7.4768124339e+02	    15	1.8240980665e-02	2.4827183564e-02	2.0065534422e+02
  6	   209	3.6156415010e-05	3.1686612688e-05	8.1231472270e+02	    28	2.8763304994e-03	3.3142255054e-03	2.3535594472e+02
  8	   304	1.9699542605e-05	2.4629644205e-05	9.3988143050e+02	    45	1.1353444582e-05	1.1304791802e-05	2.5784955267e+02
 10	   456	4.3245078811e-06	5.8016329978e-06	9.5791788907e+02	    66	2.9891375000e-05	3.5481558687e-05	2.4088250849e+02
 12	   608	7.1363307718e-07	9.0817339401e-07	9.3990264020e+02	    91	3.2766326229e-06	4.1039283566e-06	2.3853248886e+02
 14	   798	5.2192578459e-07	5.4705209726e-07	9.2387179179e+02	   120	2.2837956654e-06	2.5721757308e-06	2.1845388127e+02
 16	   988	1.4590229876e-07	1.3015290254e-07	9.1518271464e+02	   153	4.0318960237e-07	4.9836387520e-07	2.4826385968e+02
 18	  1254	5.1044952601e-08	6.3209076837e-08	9.3827744217e+02	   190	3.5393859240e-07	2.9813524409e-07	2.5158497792e+02
 20	  1482	1.0150166526e-08	1.2413505513e-08	1.0274408996e+03	   231	7.9935211527e-08	8.2196038623e-08	2.3377351918e+02
 22	  1767	1.5607712340e-08	1.2388552134e-08	9.3741456410e+02	   276	6.5374754243e-08	7.9672189569e-08	2.7593402623e+02
 24	  2071	6.1168206524e-09	7.8788588343e-09	9.1381457216e+02	   325	2.3488698842e-08	2.4939298276e-08	2.4371391955e+02
 26	  2470	3.6968108764e-09	4.3619189843e-09	1.0737839311e+03	   378	1.5152517204e-08	1.1066189117e-08	2.4517802678e+02
 28	  2850	4.5873577464e-09	4.2193849561e-09	9.5207174898e+02	   435	2.0321156444e-09	2.2439846619e-09	2.3410952536e+02
 30	  3249	6.3890814365e-09	6.5783723627e-09	9.9255027567e+02	   496	8.2732386238e-09	8.5491359498e-09	2.5180414403e+02
