ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    12	6.0460537970e-04	4.9962539654e-04	1.1729885003e+00	     6	3.1863637805e-02	2.2696403417e-02	1.1207443558e+00
  4	    24	1.5997345185e-04	1.2635416251e-04	1.1850503335e+00	    15	1.4542283325e-03	1.3438819208e-03	1.1958518386e+00
  6	    44	6.2024639679e-05	4.6928789559e-05	1.1949934294e+00	    28	2.9672474968e-04	2.5137846521e-04	1.1769173410e+00
  8	    64	2.2466426314e-05	1.7399736829e-05	1.2089171813e+00	    45	3.6719298975e-05	3.0675506270e-05	1.2131333927e+00
 10	    96	1.1837783640e-05	9.1007293483e-06	1.2121595713e+00	    66	3.4315870090e-05	2.9377769707e-05	1.1888592638e+00
 12	   128	5.1041607108e-06	3.8987612550e-06	1.2099653918e+00	    91	5.2486603918e-05	4.4304366834e-05	1.1902004743e+00
 14	   168	1.8507384119e-06	1.4147096966e-06	1.2070992832e+00	   120	1.4296867917e-05	1.1994096662e-05	1.1982627877e+00
 16	   208	4.2605836167e-07	3.2507170606e-07	1.2060503800e+00	   153	5.9568922736e-06	4.9603115664e-06	1.1884587843e+00
 18	   264	1.8468142566e-06	1.4065257589e-06	1.2088424720e+00	   190	1.2903998461e-06	1.0868020499e-06	1.1854201734e+00
 20	   312	1.5168515955e-07	1.1580549580e-07	1.2194722314e+00	   231	3.1904002886e-06	2.6412342849e-06	1.1994657372e+00
 22	   372	2.1389930100e-06	1.6243209732e-06	1.2087476199e+00	   276	2.8818963805e-06	2.3856576647e-06	1.1932949489e+00
 24	   436	5.8749894089e-07	4.4474341905e-07	1.2059224909e+00	   325	2.9332062649e-06	2.4217478979e-06	1.1888376017e+00
 26	   520	5.0672916243e-08	3.8723256767e-08	1.2248835383e+00	   378	3.7607388676e-07	3.1569937212e-07	1.2051177163e+00
 28	   600	5.5158258962e-07	4.1894077019e-07	1.2105153334e+00	   435	1.1177656097e-06	9.3292060275e-07	1.1880036999e+00
 30	   684	3.0426155627e-07	2.3104582627e-07	1.2152322321e+00	   496	1.0411248823e-06	8.6570050819e-07	1.1965489596e+00
