ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	   156	6.6897530840e-05	5.8274124511e-05	1.0095486768e+00	     6	2.3634535167e-03	2.1477890129e-03	1.0098797644e+00
  4	   312	7.9645435636e-06	6.7674583166e-06	1.0102811530e+00	    15	2.5074449440e-04	2.1151671027e-04	1.0124708460e+00
  6	   572	2.2169448234e-06	1.8591784743e-06	1.0106816118e+00	    28	8.8796881989e-05	7.2454686370e-05	1.0108986365e+00
  8	   832	1.4867325934e-06	1.2400838533e-06	1.0113464351e+00	    45	3.4407420404e-06	2.9191513437e-06	1.0119395368e+00
 10	  1248	2.5544094092e-07	2.1280728369e-07	1.0114419358e+00	    66	4.6512497917e-06	3.7824711009e-06	1.0124151175e+00
 12	  1664	1.7065504190e-07	1.4176342712e-07	1.0112682711e+00	    91	7.7119241416e-07	6.4814806911e-07	1.0142784486e+00
 14	  2184	3.0428955784e-07	2.5261127736e-07	1.0112784350e+00	   120	1.2069362655e-06	1.0237649704e-06	1.0138445304e+00
 16	  2704	1.8537454884e-07	1.5392691133e-07	1.0112320893e+00	   153	6.4207749154e-07	5.4568768479e-07	1.0138073499e+00
 18	  3432	2.5617513409e-08	2.1278725894e-08	1.0113534262e+00	   190	1.2860428655e-07	1.0808438155e-07	1.0131827582e+00
 20	  4056	3.1262965131e-08	2.5968160570e-08	1.0118536298e+00	   231	4.6635778795e-07	3.9694670244e-07	1.0136557449e+00
 22	  4836	1.6502504791e-08	1.3687658682e-08	1.0113710887e+00	   276	7.2357245514e-07	6.0833620944e-07	1.0147222318e+00
 24	  5668	1.3644281856e-08	1.1293573820e-08	1.0112372314e+00	   325	1.4685464452e-08	1.2262171989e-08	1.0137864279e+00
 26	  6760	2.2259170585e-08	1.8474739334e-08	1.0120887628e+00	   378	1.3736949731e-08	1.1557935249e-08	1.0139030941e+00
 28	  7800	1.4369627506e-08	1.1909534295e-08	1.0114421884e+00	   435	5.2255227056e-11	4.4363657159e-11	1.0146964700e+00
