ADE	  nodi	           err-2	         err-inf	            cond	nodi-c	         err-2-c	       err-inf-c	          cond-c
  2	    57	3.1760483252e-03	3.5205070907e-03	1.2167437243e+00	     6	8.1842158297e-02	9.4339971309e-02	1.4334169913e+00
  4	   114	4.5506330297e-04	5.0898801050e-04	1.2627396145e+00	    15	1.3933960051e-02	1.6277927354e-02	1.2207626646e+00
  6	   209	4.7008495454e-06	5.2388552150e-06	1.2683794413e+00	    28	2.2137421731e-04	2.4704764481e-04	1.2165976556e+00
  8	   304	4.7415937262e-08	5.3444220577e-08	1.2836892441e+00	    45	2.1607565719e-05	2.3597891432e-05	1.2681261535e+00
 10	   456	4.5688139963e-10	5.1571501062e-10	1.2901954683e+00	    66	6.3283426799e-08	7.1031709762e-08	1.2087456136e+00
 12	   608	5.1163727834e-11	5.7826433615e-11	1.2894552071e+00	    91	5.0522173182e-11	5.5492927363e-11	1.2326455655e+00
 14	   798	5.3237519678e-11	6.0116141547e-11	1.2868349381e+00	   120	5.4976532516e-11	6.0112271135e-11	1.2213035143e+00
 16	   988	5.3240331038e-11	6.0109533719e-11	1.2868422775e+00	   153	5.5115649007e-11	6.0166111815e-11	1.2392522732e+00
 18	  1254	5.3248463144e-11	6.0116183091e-11	1.2869316488e+00	   190	5.5623358711e-11	5.9538699291e-11	1.2374967377e+00
 20	  1482	5.3184307558e-11	6.0113450293e-11	1.3007915583e+00	   231	5.4077403669e-11	6.0116751853e-11	1.2297392877e+00
 22	  1767	5.3252655046e-11	6.0119477144e-11	1.2883451944e+00	   276	5.4755463015e-11	6.0130753897e-11	1.2479975804e+00
 24	  2071	5.3255761186e-11	6.0121537426e-11	1.2851890875e+00	   325	5.4604138929e-11	6.0115958821e-11	1.2371839421e+00
 26	  2470	5.3153388136e-11	6.0121016301e-11	1.3077284087e+00	   378	5.4774579884e-11	6.0038953735e-11	1.2415395863e+00
 28	  2850	5.3215972320e-11	6.0118299952e-11	1.2903331479e+00	   435	5.4408338272e-11	6.0131966625e-11	1.2298291401e+00
 30	  3249	5.3208876351e-11	6.0121153820e-11	1.2916369852e+00	   496	5.4938700284e-11	6.0127015125e-11	1.2377331024e+00
